trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
平日_05時40分_系統1642,05:40:00,05:40:00,792_05,1,瀬戸駅（岡山駅 経由）,0,1
平日_05時40分_系統1642,05:40:00,05:40:00,790_05,2,瀬戸駅（岡山駅 経由）,0,0
平日_05時40分_系統1642,05:40:00,05:40:00,788_05,3,瀬戸駅（岡山駅 経由）,0,0
平日_05時40分_系統1642,05:40:00,05:40:00,786_05,4,瀬戸駅（岡山駅 経由）,0,0
平日_05時40分_系統1642,05:41:00,05:41:00,784_05,5,瀬戸駅（岡山駅 経由）,0,0
平日_05時40分_系統1642,05:41:00,05:41:00,782_05,6,瀬戸駅（岡山駅 経由）,0,0
平日_05時40分_系統1642,05:41:00,05:41:00,780_05,7,瀬戸駅（岡山駅 経由）,0,0
平日_05時40分_系統1642,05:42:00,05:42:00,768_05,8,瀬戸駅（岡山駅 経由）,0,0
平日_05時40分_系統1642,05:43:00,05:43:00,766_05,9,瀬戸駅（岡山駅 経由）,0,0
平日_05時40分_系統1642,05:43:00,05:43:00,764_05,10,瀬戸駅（岡山駅 経由）,0,0
平日_05時40分_系統1642,05:44:00,05:44:00,762_05,11,瀬戸駅（岡山駅 経由）,0,0
平日_05時40分_系統1642,05:44:00,05:44:00,760_05,12,瀬戸駅（岡山駅 経由）,0,0
平日_05時40分_系統1642,05:45:00,05:45:00,758_05,13,瀬戸駅（岡山駅 経由）,0,0
平日_05時40分_系統1642,05:45:00,05:45:00,756_05,14,瀬戸駅（岡山駅 経由）,0,0
平日_05時40分_系統1642,05:45:00,05:45:00,754_05,15,瀬戸駅（岡山駅 経由）,0,0
平日_05時40分_系統1642,05:46:00,05:46:00,752_05,16,瀬戸駅（岡山駅 経由）,0,0
平日_05時40分_系統1642,05:47:00,05:47:00,750_05,17,表町BC経由岡山駅（瀬戸駅 経由）,0,0
平日_05時40分_系統1642,05:47:00,05:47:00,748_05,18,表町BC経由岡山駅（瀬戸駅 経由）,0,0
平日_05時40分_系統1642,05:48:00,05:48:00,746_05,19,表町BC経由岡山駅（瀬戸駅 経由）,0,0
平日_05時40分_系統1642,05:48:00,05:48:00,744_05,20,表町BC経由岡山駅（瀬戸駅 経由）,0,0
平日_05時40分_系統1642,05:49:00,05:49:00,742_05,21,表町BC経由岡山駅（瀬戸駅 経由）,0,0
平日_05時40分_系統1642,05:51:00,05:51:00,740_05,22,岡山駅,0,0
平日_05時40分_系統1642,05:52:00,05:52:00,738_04,23,岡山駅,0,0
平日_05時40分_系統1642,05:53:00,05:53:00,736_05,24,表町BC経由岡山駅（瀬戸駅 経由）,0,0
平日_05時40分_系統1642,05:54:00,05:54:00,734_05,25,表町BC経由岡山駅（瀬戸駅 経由）,0,0
平日_05時40分_系統1642,05:55:00,05:55:00,732_05,26,表町BC経由岡山駅（瀬戸駅 経由）,0,0
平日_05時40分_系統1642,05:55:00,05:55:00,730_05,27,表町BC経由岡山駅（瀬戸駅 経由）,0,0
平日_05時40分_系統1642,05:56:00,05:56:00,728_05,28,表町BC経由岡山駅（瀬戸駅 経由）,0,0
平日_05時40分_系統1642,05:56:00,05:56:00,726_05,29,表町BC経由岡山駅（瀬戸駅 経由）,0,0
平日_05時40分_系統1642,06:00:00,06:00:00,724_05,30,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:00:00,06:00:00,722_05,31,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:01:00,06:01:00,720_05,32,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:02:00,06:02:00,718_05,33,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:02:00,06:02:00,716_05,34,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:03:00,06:03:00,714_05,35,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:03:00,06:03:00,712_05,36,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:04:00,06:04:00,710_05,37,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:04:00,06:04:00,708_05,38,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:05:00,06:05:00,706_05,39,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:05:00,06:05:00,704_05,40,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:06:00,06:06:00,702_05,41,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:11:00,06:11:00,82_05,42,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:11:00,06:11:00,80_05,43,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:12:00,06:12:00,78_05,44,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:12:00,06:12:00,76_05,45,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:13:00,06:13:00,74_05,46,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:13:00,06:13:00,72_05,47,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:14:00,06:14:00,70_05,48,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:16:00,06:16:00,68_05,49,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:16:00,06:16:00,66_05,50,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:17:00,06:17:00,64_05,51,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:17:00,06:17:00,62_05,52,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:18:00,06:18:00,60_05,53,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:19:00,06:19:00,58_05,54,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:19:00,06:19:00,56_05,55,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:20:00,06:20:00,54_05,56,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:20:00,06:20:00,52_05,57,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:21:00,06:21:00,50_05,58,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:22:00,06:22:00,48_05,59,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:23:00,06:23:00,46_05,60,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:23:00,06:23:00,44_05,61,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:24:00,06:24:00,42_05,62,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:24:00,06:24:00,40_05,63,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:26:00,06:26:00,38_05,64,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:26:00,06:26:00,36_05,65,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:27:00,06:27:00,34_05,66,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:27:00,06:27:00,32_05,67,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:28:00,06:28:00,30_05,68,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:29:00,06:29:00,28_05,69,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:29:00,06:29:00,26_05,70,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:30:00,06:30:00,24_05,71,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:31:00,06:31:00,22_05,72,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:32:00,06:32:00,20_05,73,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:33:00,06:33:00,18_05,74,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:35:00,06:35:00,16_05,75,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:36:00,06:36:00,15_05,76,表町ＢＣ経由岡山駅,0,0
平日_05時40分_系統1642,06:39:00,06:39:00,12_05,77,岡山駅,0,0
平日_05時40分_系統1642,06:39:00,06:39:00,10_03,78,岡山駅,0,0
平日_05時40分_系統1642,06:40:00,06:40:00,8_05,79,岡山駅,0,0
平日_05時40分_系統1642,06:40:00,06:40:00,6_05,80,岡山駅,0,0
平日_05時40分_系統1642,06:41:00,06:41:00,7_03,81,岡山駅,0,0
平日_05時40分_系統1642,06:43:00,06:43:00,306_03,82,岡山駅,0,0
平日_05時40分_系統1642,06:45:00,06:45:00,2_01,83,岡山駅,1,0
平日_06時00分_系統1182,06:00:00,06:00:00,936_05,1,表町BC（新道河本 経由）,0,1
平日_06時00分_系統1182,06:01:00,06:01:00,934_05,2,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:02:00,06:02:00,932_05,3,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:03:00,06:03:00,930_05,4,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:04:00,06:04:00,928_05,5,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:05:00,06:05:00,926_05,6,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:06:00,06:06:00,924_05,7,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:06:00,06:06:00,922_05,8,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:07:00,06:07:00,920_05,9,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:08:00,06:08:00,918_05,10,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:09:00,06:09:00,916_05,11,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:11:00,06:11:00,914_05,12,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:12:00,06:12:00,912_05,13,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:13:00,06:13:00,910_05,14,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:14:00,06:14:00,908_05,15,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:15:00,06:15:00,906_05,16,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:16:00,06:16:00,904_05,17,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:18:00,06:18:00,902_05,18,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:18:00,06:18:00,900_05,19,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:19:00,06:19:00,898_05,20,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:19:00,06:19:00,896_05,21,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:20:00,06:20:00,894_05,22,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:20:00,06:20:00,892_05,23,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:21:00,06:21:00,890_04,24,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:22:00,06:22:00,888_05,25,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:23:00,06:23:00,886_05,26,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:24:00,06:24:00,884_05,27,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:25:00,06:25:00,882_05,28,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:26:00,06:26:00,880_05,29,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:27:00,06:27:00,878_05,30,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:28:00,06:28:00,876_05,31,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:29:00,06:29:00,874_05,32,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:30:00,06:30:00,872_05,33,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:31:00,06:31:00,870_05,34,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:32:00,06:32:00,868_05,35,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:33:00,06:33:00,866_05,36,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:34:00,06:34:00,864_05,37,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:35:00,06:35:00,862_05,38,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:36:00,06:36:00,860_05,39,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:37:00,06:37:00,858_05,40,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:38:00,06:38:00,856_05,41,表町BC（新道河本 経由）,0,0
平日_06時00分_系統1182,06:39:00,06:39:00,854_05,42,表町BC（新道河本 経由）,0,0
