stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
2_01,2,岡山駅,,34.664964,133.918558,2_01,,0
2_04,2,岡山駅,,34.665102,133.918658,2_04,,0
3_03,3,柳川西（北側）東岡山,,34.665708,133.923902,3_03,,0
4_01,4,岡山駅前・ドレミの街,,34.665691,133.921284,4_01,,0
5_01,5,柳川西（北側）,,34.665708,133.923902,5_01,,0
6_01,6,柳川,,34.665765,133.927512,6_01,,0
6_05,6,柳川,,34.665496,133.927501,6_05,,0
6_06,6,柳川,,34.665773,133.927505,6_06,,0
7_03,7,柳川西（南側）,,34.665433,133.924757,7_03,,0
8_01,8,表町入口,,34.665781,133.928970,8_01,,0
8_05,8,表町入口,,34.665468,133.928913,8_05,,0
8_06,8,表町入口,,34.665783,133.928967,8_06,,0
10_01,10,中銀本店西,,34.662870,133.930568,10_01,,0
10_03,10,中銀本店西,,34.662609,133.930308,10_03,,0
12_01,12,表町BC,,34.661572,133.930042,12_01,,0
12_02,12,表町BC,,34.661499,133.930044,12_02,,0
12_03,12,表町BC,,34.661394,133.930167,12_03,,0
12_04,12,表町BC,,34.661395,133.930248,12_04,,0
12_05,12,表町BC,,34.661649,133.930329,12_05,,0
14_01,14,中銀本店前,,34.662347,133.931000,14_01,,0
15_05,15,中電前,,34.660463,133.931548,15_05,,0
16_01,16,県庁前,,34.662238,133.934469,16_01,,0
16_05,16,県庁前,,34.660805,133.934633,16_05,,0
18_01,18,朝日高前,,34.661932,133.942239,18_01,,0
18_05,18,朝日高前,,34.661685,133.942083,18_05,,0
20_01,20,国富,,34.664014,133.944446,20_01,,0
20_05,20,国富,,34.664846,133.945205,20_05,,0
22_01,22,国富東,,34.667320,133.947257,22_01,,0
22_05,22,国富東,,34.666825,133.946809,22_05,,0
24_01,24,原東,,34.669042,133.951189,24_01,,0
24_05,24,原東,,34.668601,133.950368,24_05,,0
26_01,26,原尾島住宅前,,34.670595,133.954844,26_01,,0
26_05,26,原尾島住宅前,,34.670339,133.954651,26_05,,0
28_01,28,二本松,,34.67312,133.9586,28_01,,0
28_05,28,二本松,,34.67303,133.9589,28_05,,0
30_01,30,二本松東,,34.673287,133.961925,30_01,,0
30_05,30,二本松東,,34.673145,133.960969,30_05,,0
32_01,32,高屋,,34.673452,133.965319,32_01,,0
32_05,32,高屋,,34.673350,133.964635,32_05,,0
34_01,34,高屋東,,34.673569,133.967594,34_01,,0
34_05,34,高屋東,,34.673492,133.967572,34_05,,0
36_01,36,兼基西,,34.673697,133.970337,36_01,,0
36_05,36,兼基西,,34.673600,133.970080,36_05,,0
38_01,38,兼基,,34.674533,133.974227,38_01,,0
38_05,38,兼基,,34.674193,133.973623,38_05,,0
40_01,40,兼基東,,34.675539,133.976791,40_01,,0
40_05,40,兼基東,,34.675111,133.975924,40_05,,0
42_01,42,乙多見西,,34.676681,133.979671,42_01,,0
42_05,42,乙多見西,,34.676315,133.979041,42_05,,0
44_01,44,乙多見,,34.677817,133.982549,44_01,,0
44_05,44,乙多見,,34.677361,133.981694,44_05,,0
46_01,46,長岡団地,,34.678726,133.984795,46_01,,0
46_05,46,長岡団地,,34.678351,133.984256,46_05,,0
48_01,48,長岡西,,34.679986,133.988083,48_01,,0
48_05,48,長岡西,,34.679668,133.987421,48_05,,0
3002_01,3002,県立美術館(Okayama Prefectural Museum),,34.667937,133.930386,3002_01,,0
50_01,50,長岡,,34.681630,133.991027,50_01,,0
50_05,50,長岡,,34.680757,133.989769,50_05,,0
52_05,52,ワールド前,,34.681656,133.991309,52_05,,0
54_01,54,宍甘,,34.684046,133.995097,54_01,,0
54_05,54,宍甘,,34.683914,133.995131,54_05,,0
56_01,56,宿,,34.687076,134.000316,56_01,,0
56_05,56,宿,,34.686249,133.999082,56_05,,0
58_01,58,積水前,,34.689170,134.003895,58_01,,0
58_05,58,積水前,,34.687625,134.001427,58_05,,0
60_05,60,三石深井鉄工所前,,34.688983,134.003729,60_05,,0
62_01,62,藤井,,34.690801,134.006656,62_01,,0
62_05,62,藤井,,34.690600,134.006500,62_05,,0
64_01,64,鉄,,34.693540,134.011327,64_01,,0
64_05,64,鉄,,34.693388,134.011257,64_05,,0
66_01,66,北方,,34.696752,134.016780,66_01,,0
66_05,66,北方,,34.696655,134.016791,66_05,,0
68_01,68,中尾,,34.699212,134.021645,68_01,,0
68_05,68,中尾,,34.699245,134.022042,68_05,,0
70_01,70,沼西,,34.700545,134.025416,70_01,,0
70_05,70,沼西,,34.701082,134.027560,70_05,,0
72_01,72,沼,,34.702425,134.031419,72_01,,0
72_05,72,沼,,34.702551,134.032098,72_05,,0
74_01,74,浮田校口,,34.703146,134.035266,74_01,,0
74_05,74,浮田校口,,34.703084,134.034925,74_05,,0
76_01,76,八ツ塚,,34.702928,134.038522,76_01,,0
76_05,76,八ツ塚,,34.702899,134.037967,76_05,,0
78_01,78,赤坂,,34.703388,134.043186,78_01,,0
78_05,78,赤坂,,34.703174,134.042915,78_05,,0
80_01,80,南古都,,34.705336,134.047338,80_01,,0
80_05,80,南古都,,34.705375,134.047668,80_05,,0
82_01,82,平島,,34.706118,134.051713,82_01,,0
82_05,82,平島,,34.705966,134.051695,82_05,,0
84_01,84,矢井,,34.705316,134.060928,84_01,,0
84_05,84,矢井,,34.705240,134.061247,84_05,,0
86_01,86,山の端,,34.705267,134.066849,86_01,,0
86_05,86,山の端,,34.705111,134.066267,86_05,,0
88_01,88,浅川,,34.706659,134.071701,88_01,,0
88_05,88,浅川,,34.706436,134.072111,88_05,,0
90_01,90,新町,,34.708235,134.078141,90_01,,0
90_05,90,新町,,34.708380,134.078669,90_05,,0
92_01,92,一日市,,34.710165,134.082540,92_01,,0
92_05,92,一日市,,34.709839,134.082028,92_05,,0
94_01,94,吉井,,34.714323,134.089106,94_01,,0
94_05,94,吉井,,34.714576,134.089750,94_05,,0
96_01,96,八日市,,34.714869,134.096177,96_01,,0
96_05,96,八日市,,34.714759,134.096236,96_05,,0
98_01,98,天王,,34.721411,134.101503,98_01,,0
98_05,98,天王,,34.721342,134.101631,98_05,,0
100_01,100,船山,,34.726301,134.108940,100_01,,0
100_05,100,船山,,34.725966,134.107991,100_05,,0
102_01,102,二ノ樋,,34.727072,134.112355,102_01,,0
102_05,102,二ノ樋,,34.726715,134.110987,102_05,,0
104_01,104,香登駅前,,34.728838,134.119870,104_01,,0
104_05,104,香登駅前,,34.728525,134.118878,104_05,,0
106_01,106,香登東,,34.729914,134.124455,106_01,,0
106_05,106,香登東,,34.729874,134.124728,106_05,,0
108_01,108,大内,,34.732951,134.134457,108_01,,0
108_05,108,大内,,34.732737,134.134115,108_05,,0
110_01,110,池灘,,34.735198,134.141143,110_01,,0
110_05,110,池灘,,34.734598,134.139671,110_05,,0
112_01,112,備前病院前,,34.738380,134.156274,112_01,,0
112_05,112,備前病院前,,34.738239,134.155590,112_05,,0
114_01,114,伊部駅前,,34.738991,134.160007,114_01,,0
114_05,114,伊部駅前,,34.738852,134.160050,114_05,,0
116_01,116,東伊部,,34.739661,134.162894,116_01,,0
116_05,116,東伊部,,34.739758,134.163755,116_05,,0
118_01,118,田井山,,34.738308,134.168295,118_01,,0
118_05,118,田井山,,34.738363,134.168161,118_05,,0
120_01,120,岸本橋,,34.734805,134.174185,120_01,,0
120_05,120,岸本橋,,34.734675,134.172978,120_05,,0
122_01,122,浦伊部,,34.736579,134.177777,122_01,,0
122_05,122,浦伊部,,34.735916,134.177010,122_05,,0
124_01,124,恵美須前,,34.739059,134.179662,124_01,,0
124_05,124,恵美須前,,34.739234,134.180016,124_05,,0
126_05,126,片上,,34.742623,134.184238,126_05,,0
3001_01,3001,後楽園前(Korakuen),,34.669516,133.933637,3001_01,,0
192_01,192,長岡南,,34.681099,133.988902,192_01,,0
192_05,192,長岡南,,34.681260,133.988923,192_05,,0
194_01,194,長岡中央,,34.683307,133.987670,194_01,,0
194_05,194,長岡中央,,34.682513,133.987978,194_05,,0
196_05,196,長岡・駅前,,34.685301,133.988069,196_05,,0
200_02,200,藤原,,34.674567,133.958254,200_02,,0
200_05,200,藤原,,34.674144,133.958351,200_05,,0
202_02,202,藤原西町,,34.676337,133.958439,202_02,,0
202_05,202,藤原西町,,34.676370,133.958627,202_05,,0
204_02,204,赤田,,34.678161,133.958613,204_02,,0
204_05,204,赤田,,34.677594,133.958745,204_05,,0
206_02,206,清水,,34.680524,133.958838,206_02,,0
206_05,206,清水,,34.680114,133.958975,206_05,,0
208_02,208,中井,,34.686686,133.958654,208_02,,0
208_05,208,中井,,34.686780,133.958809,208_05,,0
210_02,210,中井北,,34.688826,133.958538,210_02,,0
210_05,210,中井北,,34.688751,133.958726,210_05,,0
212_02,212,国府市場西,,34.690907,133.958509,212_02,,0
212_05,212,国府市場西,,34.690577,133.958555,212_05,,0
214_02,214,国府市場,,34.691584,133.961531,214_02,,0
214_05,214,国府市場,,34.691510,133.960173,214_05,,0
216_02,216,賞田,,34.693846,133.961710,216_02,,0
216_05,216,賞田,,34.693830,133.961815,216_05,,0
218_02,218,賞田上,,34.695992,133.961601,218_02,,0
218_05,218,賞田上,,34.695587,133.961664,218_05,,0
220_02,220,脇田,,34.697090,133.961555,220_02,,0
222_02,222,浄土寺前,,34.697407,133.965445,222_02,,0
224_02,224,公会堂前,,34.697168,133.968580,224_02,,0
226_02,226,湯迫,,34.698021,133.970965,226_02,,0
228_02,228,湯迫東,,34.698241,133.974516,228_02,,0
228_05,228,湯迫東,,34.698241,133.974251,228_05,,0
230_02,230,東が丘西,,34.698031,133.975990,230_02,,0
232_02,232,東が丘団地入口,,34.697533,133.977755,232_02,,0
232_05,232,東が丘団地入口,,34.697533,133.977581,232_05,,0
234_02,234,東が丘団地,,34.699750,133.978910,234_02,,0
234_05,234,東が丘団地,,34.699653,133.979149,234_05,,0
236_02,236,東が丘団地中,,34.699247,133.980865,236_02,,0
236_05,236,東が丘団地中,,34.699270,133.980634,236_05,,0
238_02,238,四御神西,,34.698273,133.981890,238_02,,0
238_05,238,四御神西,,34.698317,133.981780,238_05,,0
240_02,240,四御神上,,34.696708,133.982010,240_02,,0
242_02,242,四御神,,34.695075,133.982051,242_02,,0
242_05,242,四御神,,34.695110,133.981989,242_05,,0
244_02,244,竜の口ｺﾐｭﾆﾃｨﾊｳｽ入口,,34.693563,133.981625,244_02,,0
244_05,244,竜の口ｺﾐｭﾆﾃｨﾊｳｽ入口,,34.694044,133.981572,244_05,,0
246_02,246,四御神南,,34.692442,133.981605,246_02,,0
246_05,246,四御神南,,34.692512,133.981528,246_05,,0
248_05,248,四御神車庫,,34.691699,133.981635,248_05,,0
249_05,249,四御神車庫(東岡山),,34.691699,133.981635,249_05,,0
306_03,306,岡山駅前・中銀前,,34.665384,133.920928,306_03,,0
310_04,310,県民局入口,,34.669679,133.926076,310_04,,0
311_04,311,岡電柳川,,34.666869,133.926056,311_04,,0
312_04,312,番町口,,34.672083,133.926139,312_04,,0
312_05,312,番町口,,34.672257,133.926417,312_05,,0
314_04,314,南方交番前,,34.674685,133.926217,314_04,,0
314_05,314,南方交番前,,34.674584,133.926397,314_05,,0
316_04,316,長泉寺,,34.677639,133.927795,316_04,,0
316_05,316,長泉寺,,34.677633,133.928076,316_05,,0
318_04,318,大和町,,34.679696,133.928122,318_04,,0
318_05,318,大和町,,34.679429,133.928318,318_05,,0
319_04,319,御野校前,,34.682891,133.928232,319_04,,0
319_05,319,御野校前,,34.682706,133.928367,319_05,,0
320_04,320,法界院駅前,,34.685329,133.928380,320_04,,0
320_05,320,法界院駅前,,34.685413,133.928540,320_05,,0
322_04,322,植物園口,,34.688677,133.931609,322_04,,0
322_05,322,植物園口,,34.688633,133.931738,322_05,,0
324_04,324,水源池,,34.690881,133.934491,324_04,,0
324_05,324,水源池,,34.690964,133.934752,324_05,,0
326_04,326,三野,,34.693339,133.938376,326_04,,0
326_05,326,三野,,34.693372,133.938620,326_05,,0
328_04,328,江川,,34.700081,133.943411,328_04,,0
328_05,328,江川,,34.700482,133.943719,328_05,,0
330_04,330,原,,34.706439,133.946600,330_04,,0
330_05,330,原,,34.706216,133.946779,330_05,,0
332_04,332,金山口,,34.712526,133.952319,332_04,,0
332_05,332,金山口,,34.711497,133.951562,332_05,,0
334_04,334,玉柏,,34.715020,133.961932,334_04,,0
