"service_id","date","exception_type"
"3_224_20190401","20190429","2"
"3_225_20190401","20190429","1"
"3_224_20190401","20190430","2"
"3_225_20190401","20190430","1"
"3_224_20190401","20190501","2"
"3_225_20190401","20190501","1"
"3_224_20190401","20190502","2"
"3_225_20190401","20190502","1"
"3_224_20190401","20190503","2"
"3_225_20190401","20190503","1"
"3_224_20190401","20190506","2"
"3_225_20190401","20190506","1"
"4_228_20190401","20190429","2"
"4_229_20190401","20190429","1"
"4_228_20190401","20190430","2"
"4_229_20190401","20190430","1"
