"fare_id","route_id","origin_id","destination_id","contains_id"
"10001_1005_1_100","10001_1005_1","36_1","39_1",
"10001_1005_1_100","10001_1005_1","36_1","40_2",
"10001_1005_1_100","10001_1005_1","36_1","137_1",
"10001_1005_1_100","10001_1005_1","983_2","38_2",
"10001_1005_1_100","10001_1005_1","983_2","39_1",
"10001_1005_1_100","10001_1005_1","983_2","40_2",
"10001_1005_1_100","10001_1005_1","983_2","137_1",
"10001_1005_1_100","10001_1005_1","38_2","39_1",
"10001_1005_1_100","10001_1005_1","38_2","40_2",
"10001_1005_1_100","10001_1005_1","38_2","137_1",
"10001_1005_1_100","10001_1005_1","39_1","40_2",
"10001_1005_1_100","10001_1005_1","39_1","137_1",
"10001_1005_1_100","10001_1005_1","40_2","137_1",
"10001_1006_1_100","10001_1006_1","137_1","138_1",
"10001_1006_1_100","10001_1006_1","137_1","40_1",
"10001_1006_1_100","10001_1006_1","137_1","39_3",
"10001_1006_1_100","10001_1006_1","137_1","38_1",
"10001_1006_1_100","10001_1006_1","137_1","37_1",
"10001_1006_1_100","10001_1006_1","137_1","18_5",
"10001_1006_1_100","10001_1006_1","138_1","40_1",
"10001_1006_1_100","10001_1006_1","138_1","39_3",
"10001_1006_1_100","10001_1006_1","138_1","38_1",
"10001_1006_1_100","10001_1006_1","138_1","37_1",
"10001_1006_1_100","10001_1006_1","138_1","18_5",
"10001_1006_1_100","10001_1006_1","40_1","39_3",
"10001_1006_1_100","10001_1006_1","40_1","38_1",
"10001_1006_1_100","10001_1006_1","40_1","37_1",
"10001_1006_1_100","10001_1006_1","40_1","18_5",
"10001_1006_1_100","10001_1006_1","39_3","38_1",
"10001_1006_1_100","10001_1006_1","39_3","37_1",
"10001_1006_1_100","10001_1006_1","39_3","18_5",
"10001_1006_1_100","10001_1006_1","38_1","37_1",
"10001_1006_1_100","10001_1006_1","38_1","18_5",
"10001_1006_1_100","10001_1006_1","37_1","18_5",
"10001_1007_1_100","10001_1007_1","18_5","36_1",
"10001_1007_1_100","10001_1007_1","18_5","983_2",
"10001_1007_1_100","10001_1007_1","18_5","38_2",
"10001_1007_1_100","10001_1007_1","18_5","39_1",
"10001_1007_1_100","10001_1007_1","18_5","40_2",
"10001_1007_1_100","10001_1007_1","18_5","138_2",
"10001_1007_1_140","10001_1007_1","18_5","63_1",
"10001_1007_1_200","10001_1007_1","18_5","64_2",
"10001_1007_1_100","10001_1007_1","36_1","983_2",
"10001_1007_1_100","10001_1007_1","36_1","38_2",
"10001_1007_1_100","10001_1007_1","36_1","39_1",
"10001_1007_1_100","10001_1007_1","36_1","40_2",
"10001_1007_1_100","10001_1007_1","36_1","138_2",
"10001_1007_1_140","10001_1007_1","36_1","63_1",
"10001_1007_1_200","10001_1007_1","36_1","64_2",
"10001_1007_1_100","10001_1007_1","983_2","38_2",
"10001_1007_1_100","10001_1007_1","983_2","39_1",
"10001_1007_1_100","10001_1007_1","983_2","40_2",
"10001_1007_1_100","10001_1007_1","983_2","138_2",
"10001_1007_1_140","10001_1007_1","983_2","63_1",
"10001_1007_1_200","10001_1007_1","983_2","64_2",
"10001_1007_1_100","10001_1007_1","38_2","39_1",
"10001_1007_1_100","10001_1007_1","38_2","40_2",
"10001_1007_1_100","10001_1007_1","38_2","138_2",
"10001_1007_1_140","10001_1007_1","38_2","63_1",
"10001_1007_1_200","10001_1007_1","38_2","64_2",
"10001_1007_1_100","10001_1007_1","39_1","40_2",
"10001_1007_1_100","10001_1007_1","39_1","138_2",
"10001_1007_1_140","10001_1007_1","39_1","63_1",
"10001_1007_1_200","10001_1007_1","39_1","64_2",
"10001_1007_1_100","10001_1007_1","40_2","138_2",
"10001_1007_1_140","10001_1007_1","40_2","63_1",
"10001_1007_1_160","10001_1007_1","40_2","64_2",
"10001_1007_1_140","10001_1007_1","138_2","63_1",
"10001_1007_1_160","10001_1007_1","138_2","64_2",
"10001_1007_1_160","10001_1007_1","63_1","64_2",
"10001_1008_1_160","10001_1008_1","64_1","63_4",
"10001_1008_1_160","10001_1008_1","64_1","138_1",
"10001_1008_1_160","10001_1008_1","64_1","40_1",
"10001_1008_1_200","10001_1008_1","64_1","39_3",
"10001_1008_1_200","10001_1008_1","64_1","38_1",
"10001_1008_1_200","10001_1008_1","64_1","37_1",
"10001_1008_1_200","10001_1008_1","64_1","18_5",
"10001_1008_1_140","10001_1008_1","63_4","138_1",
"10001_1008_1_140","10001_1008_1","63_4","40_1",
"10001_1008_1_140","10001_1008_1","63_4","39_3",
"10001_1008_1_140","10001_1008_1","63_4","38_1",
"10001_1008_1_140","10001_1008_1","63_4","37_1",
"10001_1008_1_140","10001_1008_1","63_4","18_5",
"10001_1008_1_100","10001_1008_1","138_1","40_1",
"10001_1008_1_100","10001_1008_1","138_1","39_3",
"10001_1008_1_100","10001_1008_1","138_1","38_1",
"10001_1008_1_100","10001_1008_1","138_1","37_1",
"10001_1008_1_100","10001_1008_1","138_1","18_5",
"10001_1008_1_100","10001_1008_1","40_1","39_3",
"10001_1008_1_100","10001_1008_1","40_1","38_1",
"10001_1008_1_100","10001_1008_1","40_1","37_1",
"10001_1008_1_100","10001_1008_1","40_1","18_5",
"10001_1008_1_100","10001_1008_1","39_3","38_1",
"10001_1008_1_100","10001_1008_1","39_3","37_1",
"10001_1008_1_100","10001_1008_1","39_3","18_5",
"10001_1008_1_100","10001_1008_1","38_1","37_1",
"10001_1008_1_100","10001_1008_1","38_1","18_5",
"10001_1008_1_100","10001_1008_1","37_1","18_5",
"10001_1106_1_100","10001_1106_1","137_1","18_5",
"10001_2026_1_100","10001_2026_1","137_1","138_1",
"10001_2026_1_100","10001_2026_1","137_1","40_1",
"10001_2026_1_100","10001_2026_1","137_1","39_3",
"10001_2026_1_100","10001_2026_1","137_1","38_1",
"10001_2026_1_100","10001_2026_1","137_1","37_1",
"10001_2026_1_100","10001_2026_1","137_1","18_4",
"10001_2026_1_100","10001_2026_1","137_1","19_4",
"10001_2026_1_170","10001_2026_1","137_1","21_2",
"10001_2026_1_170","10001_2026_1","137_1","22_1",
"10001_2026_1_170","10001_2026_1","137_1","27_3",
"10001_2026_1_100","10001_2026_1","138_1","40_1",
"10001_2026_1_100","10001_2026_1","138_1","39_3",
"10001_2026_1_100","10001_2026_1","138_1","38_1",
"10001_2026_1_100","10001_2026_1","138_1","37_1",
