"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"10001_1008_1","20190116","岡南営業所",,"岡山駅"
"10006_2008_1","20190116","岡電高屋",,"岡山駅"
"81000_1542_1","20190116","岡南飛行場",,"天満屋"
"42400_4241_1","20190116","重井付属病院",,"天満屋"
"20300_2134_1","20190116","岡電高屋",,"天満屋"
"330600_3180_1","20190116","岡山駅",,"免許センター"
"10400_1041_1","20190116","岡山駅",,"岡南飛行場"
"10500_1051_1","20190116","岡山駅",,"大東"
"220100_2019_1","20190116","大学病院",,"大学病院"
"81000_2543_1","20190116","北長瀬駅前",,"イオンモール岡山前・源吉兆庵本社前"
"41200_4202_1","20190116","天満屋",,"火の見"
"10200_1023_1","20190116","岡山駅",,"ひかり幼稚園前"
"82000_3194_1","20190116","妙善寺",,"岡山駅"
"10200_1028_1","20190116","岡山駅",,"ひかり幼稚園前"
"81000_1583_1","20190116","岡山駅",,"中庄駅"
"82000_3524_1","20190116","三野",,"岡山駅"
"82000_3534_1","20190116","妙善寺",,"岡山駅"
"83000_4552_1","20190116","岡山ふれあいセンター",,"天満屋"
"10500_1055_1","20190116","大東",,"岡南営業所"
"330000_3010_1","20190116","津高営業所妙でん寺前",,"天満屋"
"44000_4421_1","20190116","山陽学園大学",,"岡山駅"
"42600_4262_1","20190116","天満屋",,"コンベックス岡山前"
"20300_2059_1","20190116","天満屋",,"ひらた旭川荘"
"43900_4392_1","20190116","岡山駅",,"三蟠南"
"30400_3044_1","20190116","岡山理科大学東門",,"岡山駅"
"30300_3231_1","20190116","岡山駅",,"妙善寺"
"330000_3092_1","20190116","本村",,"天満屋"
"10100_1017_1","20190116","岡山駅",,"三浜町"
"11200_1061_1","20190116","岡山駅",,"岡南飛行場"
"81000_1121_1","20190116","天満屋",,"岡山駅"
"330100_3014_1","20190116","津高営業所妙でん寺前",,"天満屋"
"30300_3038_1","20190116","妙善寺",,"岡山駅西口"
"443800_4384_1","20190116","岡山駅",,"新岡山港"
