"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","platform_code"
"18_1",,"岡山駅",,"34.664703","133.91841","18_1",,"0",,,,
"18_2",,"岡山駅",,"34.66561","133.91867","18_2",,"0",,,,
"18_3",,"岡山駅",,"34.6655","133.91861","18_3",,"0",,,,
"18_4",,"岡山駅",,"34.66536","133.91852","18_4",,"0",,,,
"18_5",,"岡山駅",,"34.66528","133.91846","18_5",,"0",,,,
"18_6",,"岡山駅",,"34.665115","133.91835","18_6",,"0",,,,
"18_7",,"岡山駅",,"34.665","133.91824","18_7",,"0",,,,
"18_8",,"岡山駅",,"34.66483","133.91815","18_8",,"0",,,,
"18_10",,"岡山駅",,"34.665257","133.9188","18_10",,"0",,,,
"19_1",,"岡山駅前",,"34.66571","133.92102","19_1",,"0",,,,
"19_2",,"岡山駅前",,"34.665394","133.9211","19_2",,"0",,,,
"19_3",,"岡山駅前",,"34.665688","133.9208","19_3",,"0",,,,
"19_4",,"岡山駅前",,"34.665688","133.92091","19_4",,"0",,,,
"19_5",,"岡山駅前",,"34.665688","133.92114","19_5",,"0",,,,
"19_6",,"岡山駅前",,"34.665688","133.92169","19_6",,"0",,,,
"19_7",,"岡山駅前",,"34.665405","133.92084","19_7",,"0",,,,
"19_8",,"岡山駅前",,"34.66542","133.92108","19_8",,"0",,,,
"19_9",,"岡山駅前",,"34.665688","133.92136","19_9",,"0",,,,
"20_1",,"西川緑道公園前",,"34.66542","133.92226","20_1",,"0",,,,
"20_2",,"西川緑道公園前",,"34.66575","133.92151","20_2",,"0",,,,
"21_1",,"柳川西",,"34.66545","133.92473","21_1",,"0",,,,
"21_2",,"柳川西",,"34.665688","133.92387","21_2",,"0",,,,
"22_1",,"ＮＴＴ岡山前",,"34.66322","133.92645","22_1",,"0",,,,
"22_2",,"ＮＴＴ岡山前",,"34.66317","133.92609","22_2",,"0",,,,
"22_3",,"ＮＴＴ岡山前",,"34.66306","133.92635","22_3",,"0",,,,
"22_4",,"ＮＴＴ岡山前",,"34.66297","133.92609","22_4",,"0",,,,
"22_5",,"ＮＴＴ岡山前",,"34.66317","133.92609","22_5",,"0",,,,
"23_1",,"両備前",,"34.6626","133.92097","23_1",,"0",,,,
"24_1",,"農業会館前",,"34.66251","133.92488","24_1",,"0",,,,
"25_1",,"柳町一丁目",,"34.66017","133.92075","25_1",,"0",,,,
"26_1",,"田町二丁目",,"34.66039","133.92511","26_1",,"0",,,,
"27_1",,"天満屋",,"34.661633","133.92827","27_1",,"0",,,,
"27_2",,"天満屋",,"34.66216","133.92853","27_2",,"0",,,,
"27_3",,"天満屋",,"34.66207","133.92853","27_3",,"0",,,,
"27_4",,"天満屋",,"34.66199","133.92853","27_4",,"0",,,,
"27_5",,"天満屋",,"34.661896","133.92853","27_5",,"0",,,,
"27_6",,"天満屋",,"34.661816","133.92853","27_6",,"0",,,,
"27_7",,"天満屋",,"34.66173","133.92853","27_7",,"0",,,,
"27_8",,"天満屋",,"34.661713","133.92828","27_8",,"0",,,,
"27_13",,"天満屋",,"34.66188","133.92825","27_13",,"0",,,,
"28_1",,"中銀前",,"34.66259","133.93028","28_1",,"0",,,,
"28_2",,"中銀前",,"34.662376","133.93091","28_2",,"0",,,,
"28_3",,"中銀前",,"34.662327","133.93098","28_3",,"0",,,,
"29_1",,"栄町",,"34.66048","133.92981","29_1",,"0",,,,
"30_1",,"中電前",,"34.66047","133.93155","30_1",,"0",,,,
"31_1",,"県庁前",,"34.66222","133.93443","31_1",,"0",,,,
"31_2",,"県庁前",,"34.66077","133.93457","31_2",,"0",,,,
"31_3",,"県庁前",,"34.66222","133.93443","31_3",,"0",,,,
"31_4",,"県庁前",,"34.66077","133.93457","31_4",,"0",,,,
"32_1",,"市役所入口",,"34.656162","133.92198","32_1",,"0",,,,
"32_2",,"市役所入口",,"34.65645","133.92091","32_2",,"0",,,,
"33_1",,"千日前",,"34.656162","133.9278","33_1",,"0",,,,
"33_2",,"千日前",,"34.6564","133.9295","33_2",,"0",,,,
"34_1",,"駅前町",,"34.667145","133.91965","34_1",,"0",,,,
"35_1",,"岡山高島屋前",,"34.66483","133.91928","35_1",,"0",,,,
"36_1",,"錦町",,"34.66347","133.91917","36_1",,"0",,,,
"37_1",,"イオンモール岡山前・源吉兆庵本社前",,"34.661926","133.91895","37_1",,"0",,,,
"38_1",,"山陽新聞社前",,"34.65789","133.91911","38_1",,"0",,,,
"38_2",,"山陽新聞社前",,"34.6576","133.91942","38_2",,"0",,,,
"38_3",,"山陽新聞社前",,"34.6576","133.91942","38_3",,"0",,,,
"38_4",,"山陽新聞社前",,"34.65789","133.91911","38_4",,"0",,,,
"39_1",,"岡山市役所前",,"34.65565","133.91914","39_1",,"0",,,,
"39_2",,"岡山市役所前",,"34.655224","133.91885","39_2",,"0",,,,
"39_3",,"岡山市役所前",,"34.65547","133.91866","39_3",,"0",,,,
"40_1",,"水道局前",,"34.653824","133.91756","40_1",,"0",,,,
"40_2",,"水道局前",,"34.653465","133.9177","40_2",,"0",,,,
"41_1",,"精神科医療センター西",,"34.65136","133.91487","41_1",,"0",,,,
"41_2",,"精神科医療センター西",,"34.65109","133.91493","41_2",,"0",,,,
"42_1",,"東古松二丁目",,"34.65007","133.91344","42_1",,"0",,,,
"42_2",,"東古松二丁目",,"34.64997","133.91348","42_2",,"0",,,,
"43_1",,"大元駅前",,"34.64769","133.91118","43_1",,"0",,,,
"43_2",,"大元駅前",,"34.64722","133.91138","43_2",,"0",,,,
