"trans_id","lang","translation"
"ドンドン","en","Dondon"
"ドンドン","ja","ドンドン"
"ドンドン","ja-Hrkt","ドンドン"
"ヤットコ","en","Yattoko"
"ヤットコ","ja","ヤットコ"
"ヤットコ","ja-Hrkt","ヤットコ"
"じゅずくり","en","Jozukuri"
"じゅずくり","ja","じゅずくり"
"じゅずくり","ja-Hrkt","ジュズクリ"
"ファーマーズマーケット","en","Farmer's Market"
"ファーマーズマーケット","ja","ファーマーズマーケット"
"ファーマーズマーケット","ja-Hrkt","ファーマーズマーケット"
"ホールサムインせとうち","en","Wholesome Inn Setouchi"
"ホールサムインせとうち","ja","ホールサムインせとうち"
"ホールサムインせとうち","ja-Hrkt","ホールサムインセトウチ"
"エブリイOkanaka津高店前","en","Every-Okanaka,Tsudaka"
"エブリイOkanaka津高店前","ja","エブリイOkanaka津高店前"
"エブリイOkanaka津高店前","ja-Hrkt","エブリイオカナカツダカテンマエ"
"一区","en","Ikku"
"一区","ja","一区"
"一区","ja-Hrkt","イック"
"一本松","en","Ipponmatsu"
"一本松","ja","一本松"
"一本松","ja-Hrkt","イッポンマツ"
"七区入口","en","Nanaku Iriguchi"
"七区入口","ja","七区入口"
"七区入口","ja-Hrkt","ナナクイリグチ"
"七島","en","Nanashima"
"七島","ja","七島"
"七島","ja-Hrkt","ナナシマ"
"三井E&Sホールディングス前","en","Mitsui E&S Holdings-mae"
"三井E&Sホールディングス前","ja","三井E&Sホールディングス前"
"三井E&Sホールディングス前","ja-Hrkt","ミツイイーアンドエスホールディングスマエ"
"三井製糖前","en","Mitsui Seito-mae"
"三井製糖前","ja","三井製糖前"
"三井製糖前","ja-Hrkt","ミツイセイトウマエ"
"三和紙工前","en","Sanwa Shiko-mae"
"三和紙工前","ja","三和紙工前"
"三和紙工前","ja-Hrkt","サンワシコウマエ"
"三浜町","en","Mihamacho"
"三浜町","ja","三浜町"
"三浜町","ja-Hrkt","ミハマチョウ"
"三田口","en","Mitsudaguchi"
"三田口","ja","三田口"
"三田口","ja-Hrkt","ミツダグチ"
"三菱正門西","en","Mitsubishi Seimon-nishi"
"三菱正門西","ja","三菱正門西"
"三菱正門西","ja-Hrkt","ミツビシセイモンニシ"
"三蟠南","en","Samban-minami"
"三蟠南","ja","三蟠南"
"三蟠南","ja-Hrkt","サンバンミナミ"
"三蟠用水","en","Samban Yosui"
"三蟠用水","ja","三蟠用水"
"三蟠用水","ja-Hrkt","サンバンヨウスイ"
"三蟠農協前","en","Samban Nokyo-mae"
"三蟠農協前","ja","三蟠農協前"
"三蟠農協前","ja-Hrkt","サンバンノウキョウマエ"
"三蟠郵便局前","en","Samban Yubinkyoku-mae"
"三蟠郵便局前","ja","三蟠郵便局前"
"三蟠郵便局前","ja-Hrkt","サンバンユウビンキョクマエ"
"三蟠郵便局北","en","Samban Yubinkyoku-kita"
"三蟠郵便局北","ja","三蟠郵便局北"
"三蟠郵便局北","ja-Hrkt","サンバンユウビンキョクキタ"
"三軒屋","en","Sangen-ya"
"三軒屋","ja","三軒屋"
"三軒屋","ja-Hrkt","サンケンヤ"
"三軒屋自衛隊前","en","Sangenya Jieitai-mae"
"三軒屋自衛隊前","ja","三軒屋自衛隊前"
"三軒屋自衛隊前","ja-Hrkt","サンゲンヤジエイタイマエ"
"三野","en","Mino "
"三野","ja","三野"
"三野","ja-Hrkt","ミノ"
"上中野","en","Kaminakano"
"上中野","ja","上中野"
"上中野","ja-Hrkt","カミナカノ"
"上中野二丁目","en","Kaminakano 2-chome"
"上中野二丁目","ja","上中野二丁目"
"上中野二丁目","ja-Hrkt","カミナカノニチョウメ"
"上南中学校前","en","Jonan Chugakko-mae（Jonan Junior High School）"
"上南中学校前","ja","上南中学校前"
"上南中学校前","ja-Hrkt","ジョウナンチュウガッコウマエ"
"上寺入口","en","Uedera Iriguchi"
"上寺入口","ja","上寺入口"
"上寺入口","ja-Hrkt","ウエテライリグチ"
"上山坂","en","Kamiyamasaka"
"上山坂","ja","上山坂"
"上山坂","ja-Hrkt","カミヤマサカ"
"上山田","en","Kamiyamada"
"上山田","ja","上山田"
"上山田","ja-Hrkt","カミヤマダ"
"上山田東","en","Kamiyamada-higashi"
"上山田東","ja","上山田東"
"上山田東","ja-Hrkt","カミヤマダヒガシ"
"上平井","en","Kamihirai"
"上平井","ja","上平井"
"上平井","ja-Hrkt","カミヒライ"
"上成","en","Uwanari"
"上成","ja","上成"
"上成","ja-Hrkt","ウワナリ"
"上阿知中","en","Kamiachi-naka"
"上阿知中","ja","上阿知中"
"上阿知中","ja-Hrkt","カミアチナカ"
"上阿知東","en","Kamiachi-higashi"
"上阿知東","ja","上阿知東"
"上阿知東","ja-Hrkt","カミアチヒガシ"
"上阿知西","en","Kamiachi-nishi"
"上阿知西","ja","上阿知西"
"上阿知西","ja-Hrkt","カミアチニシ"
"下中野","en","ShimonNakano"
"下中野","ja","下中野"
"下中野","ja-Hrkt","シモナカノ"
"下中野北","en","Shimonakano-kita"
"下中野北","ja","下中野北"
"下中野北","ja-Hrkt","シモナカノキタ"
"下中野本町","en","Shimonakako Hommachi"
"下中野本町","ja","下中野本町"
"下中野本町","ja-Hrkt","シモナカノホンマチ"
"下伊福二丁目","en","Shimo-Ifuku 2-chome"
"下伊福二丁目","ja","下伊福二丁目"
"下伊福二丁目","ja-Hrkt","シモイフクニチョウメ"
"下の原","en","Shimonohara"
"下の原","ja","下の原"
"下の原","ja-Hrkt","シモノハラ"
"下の原南","en","Shimonohara-minami"
"下の原南","ja","下の原南"
"下の原南","ja-Hrkt","シモノハラミナミ"
"下山田","en","Shimoyamada"
"下山田","ja","下山田"
"下山田","ja-Hrkt","シモヤマダ"
"下撫川","en","Shimonatsukawa"
"下撫川","ja","下撫川"
"下撫川","ja-Hrkt","シモナツカワ"
"下阿知中","en","Shimoachi-naka"
"下阿知中","ja","下阿知中"
"下阿知中","ja-Hrkt","シモアチナカ"
"下阿知東","en","Shimoachi-higashi"
"下阿知東","ja","下阿知東"
"下阿知東","ja-Hrkt","シモアチヒガシ"
"下阿知西","en","Shimoachi-nishi"
"下阿知西","ja","下阿知西"
"下阿知西","ja-Hrkt","シモアチニシ"
"丘","en","Oka"
"丘","ja","丘"
"丘","ja-Hrkt","オカ"
"両備前","en","Ryobi-mae"
"両備前","ja","両備前"
"両備前","ja-Hrkt","リョウビマエ"
"両備テクノ前","en","Ryobi Tekuno-mae"
"両備テクノ前","ja","両備テクノ前"
"両備テクノ前","ja-Hrkt","リョウビテクノマエ"
"並木町","en","Namikicho"
"並木町","ja","並木町"
"並木町","ja-Hrkt","ナミキチョウ"
"並木町二丁目","en","Namikicho 2-chome"
"並木町二丁目","ja","並木町二丁目"
"並木町二丁目","ja-Hrkt","ナミキチョウニチョウメ"
"中井","en","Nakai"
"中井","ja","中井"
"中井","ja-Hrkt","ナカイ"
"中井北","en","Nakai-kita"
"中井北","ja","中井北"
"中井北","ja-Hrkt","ナカイキタ"
"中仙道","en","Nakasendo"
"中仙道","ja","中仙道"
"中仙道","ja-Hrkt","ナカセンドウ"
"中仙道西","en","Nakasendo-nishi"
"中仙道西","ja","中仙道西"
"中仙道西","ja-Hrkt","ナカセンドウニシ"
"中原","en","Nakahara"
"中原","ja","中原"
"中原","ja-Hrkt","ナカハラ"
"中の原","en","Nakanohara"
"中の原","ja","中の原"
"中の原","ja-Hrkt","ナカノハラ"
"中の原南","en","Nakanohara-minami"
"中の原南","ja","中の原南"
"中の原南","ja-Hrkt","ナカノハラミナミ"
"中国学園入口","en","Chugoku Gakuen Iriguchi"
"中国学園入口","ja","中国学園入口"
"中国学園入口","ja-Hrkt","チュウゴクガクエンイリグチ"
"中国能開大","en","Chugoku Nokaidai"
"中国能開大","ja","中国能開大"
"中国能開大","ja-Hrkt","チュウゴクノウカイダイ"
"中央二丁目","en","Chuo 2-chome"
"中央二丁目","ja","中央二丁目"
"中央二丁目","ja-Hrkt","チュウオウニチョウメ"
"中央市場前","en","Chuo Ichiba-mae"
"中央市場前","ja","中央市場前"
"中央市場前","ja-Hrkt","チュウオウイチバマエ"
"中姓寺","en","Nakasyouji"
"中姓寺","ja","中姓寺"
"中姓寺","ja-Hrkt","ナカショウジ"
"中学校前","en","Chugakko-mae"
"中学校前","ja","中学校前"
"中学校前","ja-Hrkt","チュウガッコウマエ"
"中山トンネル","en","Nakayama Tunnel"
"中山トンネル","ja","中山トンネル"
"中山トンネル","ja-Hrkt","ナカヤマトンネル"
"中島口","en","Nakashimaguchi"
"中島口","ja","中島口"
"中島口","ja-Hrkt","ナカシマグチ"
"中庄駅","en","Nakasho Sta."
"中庄駅","ja","中庄駅"
"中庄駅","ja-Hrkt","ナカショウエキ"
"中撫川","en","Nakanatsukawa"
"中撫川","ja","中撫川"
"中撫川","ja-Hrkt","ナカナツカワ"
"中浜","en","Nakahama"
"中浜","ja","中浜"
"中浜","ja-Hrkt","ナカハマ"
"中筋","en","Nanakasuji"
"中筋","ja","中筋"
"中筋","ja-Hrkt","ナカスジ"
"中西","en","Chusei"
"中西","ja","中西"
"中西","ja-Hrkt","チュウセイ"
"中銀前","en","Chugin-mae"
"中銀前","ja","中銀前"
"中銀前","ja-Hrkt","チュウギンマエ"
"中電前","en","Chuden-mae"
"中電前","ja","中電前"
"中電前","ja-Hrkt","チュウデンマエ"
"久々井","en","Kugui"
"久々井","ja","久々井"
"久々井","ja-Hrkt","クグイ"
"亀島橋","en","Kamejimabashi"
"亀島橋","ja","亀島橋"
"亀島橋","ja-Hrkt","カメジマバシ"
"二塚","en","Futatsuka"
"二塚","ja","二塚"
"二塚","ja-Hrkt","フタツカ"
"二本松","en","Nihommatsu"
"二本松","ja","二本松"
"二本松","ja-Hrkt","ニホンマツ"
"二福小古城池高前","en","Nifukusho/Kojoikeko-mae"
"二福小古城池高前","ja","二福小古城池高前"
"二福小古城池高前","ja-Hrkt","ニフクショウコジョウイケコウマエ"
"二軒茶屋","en","Nikenjaya"
