"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"10001_1005_1","2_220_20190401","220_1100426_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1103416_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_11038114_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1100336_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1111027_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_11134110_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1100429_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1102816_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_11038111_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1113625_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1112029_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1103534_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1100538_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1104134_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1111024_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1101428_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1103434_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1112026_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1103216_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1113417_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_221_20190401","221_2112918_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1103516_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1113622_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1101116_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1112514_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1101914_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1113017_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1112215_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1113414_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1100516_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1111116_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1102917_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1110417_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_220_20190401","220_1104022_20190401","大学病院",,,,"2_1005_1",,,"2"
"10001_1006_1","2_221_20190401","221_2103535_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1113418_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1103442_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_11038112_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1104023_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1101912_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1113626_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1104135_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_221_20190401","221_2102632_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1103535_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_221_20190401","221_2112916_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1113415_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1103532_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1112242_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_221_20190401","221_2100112_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1101742_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1102817_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1103217_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1111022_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1102918_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1110232_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1103342_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_221_20190401","221_2101632_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_221_20190401","221_2104224_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1105512_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1101612_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1103435_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1104132_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1102632_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1100222_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_221_20190401","221_2101032_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1102242_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1101915_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_221_20190401","221_2100324_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1112027_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_221_20190401","221_2100342_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1100427_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_221_20190401","221_2102824_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1113623_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_220_20190401","220_1111025_20190401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1007_1","2_220_20190401","220_1113825_20190401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_221_20190401","221_2111417_20190401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_220_20190401","220_11010110_20190401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_221_20190401","221_2112116_20190401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_220_20190401","220_1113425_20190401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_221_20190401","221_2103314_20190401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_220_20190401","220_1103226_20190401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_220_20190401","220_1110538_20190401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1008_1","2_221_20190401","221_2101221_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1110531_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1102131_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1113441_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1103831_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1102331_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1100711_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2112621_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2103121_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1111431_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1114411_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1102621_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2112331_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2105721_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2101731_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1103941_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1103231_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1111731_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2103441_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1101421_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1100431_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1100421_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2101641_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2104021_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1101041_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2112141_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1110831_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_220_20190401","220_1101631_20190401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_221_20190401","221_2103341_20190401","岡山駅",,,,"2_1008_1",,,"2"
