"service_id","date","exception_type"
"20_136_20180723","20180730","2"
"20_137_20180723","20180730","1"
"20_136_20180723","20180731","2"
"20_137_20180723","20180731","1"
"20_136_20180723","20180801","2"
"20_137_20180723","20180801","1"
"20_136_20180723","20180802","2"
"20_137_20180723","20180802","1"
"20_136_20180723","20180803","2"
"20_137_20180723","20180803","1"
"20_136_20180723","20180806","2"
"20_137_20180723","20180806","1"
"20_136_20180723","20180807","2"
"20_137_20180723","20180807","1"
"20_136_20180723","20180808","2"
"20_137_20180723","20180808","1"
"20_136_20180723","20180809","2"
"20_137_20180723","20180809","1"
"20_136_20180723","20180810","2"
"20_137_20180723","20180810","1"
"20_136_20180723","20180813","2"
"20_138_20180723","20180813","1"
"20_136_20180723","20180814","2"
"20_138_20180723","20180814","1"
"20_136_20180723","20180815","2"
"20_138_20180723","20180815","1"
"20_136_20180723","20180816","2"
"20_137_20180723","20180816","1"
"20_136_20180723","20180817","2"
"20_137_20180723","20180817","1"
"20_136_20180723","20180820","2"
"20_137_20180723","20180820","1"
"20_136_20180723","20180821","2"
"20_137_20180723","20180821","1"
"20_136_20180723","20180822","2"
"20_137_20180723","20180822","1"
"20_136_20180723","20180823","2"
"20_137_20180723","20180823","1"
"20_136_20180723","20180824","2"
"20_137_20180723","20180824","1"
"20_136_20180723","20180827","2"
"20_137_20180723","20180827","1"
"20_136_20180723","20180828","2"
"20_137_20180723","20180828","1"
"20_136_20180723","20180829","2"
"20_137_20180723","20180829","1"
"20_136_20180723","20180830","2"
"20_137_20180723","20180830","1"
"20_136_20180723","20180831","2"
"20_137_20180723","20180831","1"
"21_141_20180723","20180811","2"
"21_142_20180723","20180811","1"
"21_140_20180723","20180813","2"
"21_142_20180723","20180813","1"
"21_140_20180723","20180814","2"
"21_142_20180723","20180814","1"
"21_140_20180723","20180815","2"
"21_142_20180723","20180815","1"
"25_143_20180723","20180730","2"
"25_145_20180723","20180730","1"
"25_143_20180723","20180731","2"
"25_145_20180723","20180731","1"
"29_146_20180723","20180809","2"
"29_149_20180723","20180809","1"
"29_146_20180723","20180810","2"
"29_149_20180723","20180810","1"
"29_147_20180723","20180811","2"
"29_148_20180723","20180811","1"
"29_146_20180723","20180813","2"
"29_148_20180723","20180813","1"
"29_146_20180723","20180814","2"
"29_148_20180723","20180814","1"
"29_146_20180723","20180815","2"
"29_148_20180723","20180815","1"
"29_146_20180723","20180816","2"
"29_149_20180723","20180816","1"
"29_146_20180723","20180817","2"
"29_149_20180723","20180817","1"
"29_146_20180723","20180820","2"
"29_149_20180723","20180820","1"
"29_146_20180723","20180821","2"
"29_149_20180723","20180821","1"
"29_146_20180723","20180822","2"
"29_149_20180723","20180822","1"
"29_146_20180723","20180823","2"
"29_149_20180723","20180823","1"
"29_146_20180723","20180824","2"
"29_149_20180723","20180824","1"
"29_146_20180723","20180827","2"
"29_149_20180723","20180827","1"
"29_146_20180723","20180828","2"
"29_149_20180723","20180828","1"
"29_146_20180723","20180829","2"
"29_149_20180723","20180829","1"
"29_146_20180723","20180830","2"
"29_149_20180723","20180830","1"
"29_146_20180723","20180831","2"
"29_149_20180723","20180831","1"
