"fare_id","price","currency_type","payment_method","transfers","transfer_duration"
"25004_250591_1_250","250","JPY","0","0",
"20003_200291_1_490","490","JPY","0","0",
"25004_250611_1_270","270","JPY","0","0",
"25003_506_1_620","620","JPY","0","0",
"29005_292011_1_430","430","JPY","0","0",
"21002_210012_1_170","170","JPY","0","0",
"25004_250601_1_670","670","JPY","0","0",
"25004_250601_1_560","560","JPY","0","0",
"25003_505_1_500","500","JPY","0","0",
"25003_506_1_550","550","JPY","0","0",
"25006_250882_1_430","430","JPY","0","0",
"29007_290112_1_260","260","JPY","0","0",
"21007_210592_1_230","230","JPY","0","0",
"25004_250611_1_850","850","JPY","0","0",
"29003_290582_1_320","320","JPY","0","0",
"29010_290634_1_250","250","JPY","0","0",
"20003_200401_1_310","310","JPY","0","0",
"25004_250861_1_260","260","JPY","0","0",
"25003_505_1_730","730","JPY","0","0",
"21004_210061_1_200","200","JPY","0","0",
"20002_200232_1_320","320","JPY","0","0",
"20005_200151_1_340","340","JPY","0","0",
"25004_250611_1_630","630","JPY","0","0",
"25002_250471_1_330","330","JPY","0","0",
"25003_531_1_520","520","JPY","0","0",
"21005_210332_1_260","260","JPY","0","0",
"25004_250944_1_810","810","JPY","0","0",
"29003_290551_1_330","330","JPY","0","0",
"20002_200232_1_540","540","JPY","0","0",
"20005_200172_1_290","290","JPY","0","0",
"25006_250782_1_440","440","JPY","0","0",
"20001_200212_1_210","210","JPY","0","0",
"21007_210612_1_700","700","JPY","0","0",
"25004_250611_1_230","230","JPY","0","0",
"21002_210034_1_320","320","JPY","0","0",
"21002_210011_1_210","210","JPY","0","0",
"25003_517_1_470","470","JPY","0","0",
"29005_291012_1_510","510","JPY","0","0",
"21002_210032_1_340","340","JPY","0","0",
"25003_511_1_550","550","JPY","0","0",
"25006_250782_1_600","600","JPY","0","0",
"21007_210612_1_620","620","JPY","0","0",
"25001_250462_1_670","670","JPY","0","0",
"25001_250462_1_560","560","JPY","0","0",
"25003_535_1_440","440","JPY","0","0",
"25003_509_1_170","170","JPY","0","0",
"25003_510_1_420","420","JPY","0","0",
"21007_210621_1_290","290","JPY","0","0",
"21003_210102_1_220","220","JPY","0","0",
"21001_212012_1_200","200","JPY","0","0",
"25003_534_1_330","330","JPY","0","0",
"25003_535_1_690","690","JPY","0","0",
"25005_250712_1_250","250","JPY","0","0",
"25004_250606_1_430","430","JPY","0","0",
"25001_250461_1_340","340","JPY","0","0",
"25003_508_1_910","910","JPY","0","0",
"25003_531_1_350","350","JPY","0","0",
"21007_210592_1_270","270","JPY","0","0",
"21007_210612_1_550","550","JPY","0","0",
"25006_250751_1_280","280","JPY","0","0",
"25001_250462_1_710","710","JPY","0","0",
"25003_511_1_620","620","JPY","0","0",
"25006_250881_1_200","200","JPY","0","0",
"25004_250605_1_730","730","JPY","0","0",
"25003_508_1_640","640","JPY","0","0",
"25004_250622_1_830","830","JPY","0","0",
"25003_535_1_610","610","JPY","0","0",
"21002_210034_1_100","100","JPY","0","0",
"20005_200152_1_320","320","JPY","0","0",
"25004_250621_1_630","630","JPY","0","0",
"25003_510_1_680","680","JPY","0","0",
"25004_250605_1_500","500","JPY","0","0",
"25006_250782_1_610","610","JPY","0","0",
"25004_250621_1_850","850","JPY","0","0",
"25005_250912_1_240","240","JPY","0","0",
"20003_200402_1_320","320","JPY","0","0",
"20002_200243_1_240","240","JPY","0","0",
"25004_250601_1_580","580","JPY","0","0",
"25005_250932_1_300","300","JPY","0","0",
"25003_533_1_320","320","JPY","0","0",
"25004_250621_1_270","270","JPY","0","0",
"25002_250472_1_330","330","JPY","0","0",
"21003_210102_1_360","360","JPY","0","0",
"29007_290112_1_290","290","JPY","0","0",
"25005_250913_1_240","240","JPY","0","0",
"29007_290871_1_230","230","JPY","0","0",
"25003_538_1_570","570","JPY","0","0",
"21002_210031_1_330","330","JPY","0","0",
"29005_291012_1_240","240","JPY","0","0",
"21001_212011_1_170","170","JPY","0","0",
"20003_200291_1_380","380","JPY","0","0",
"29005_292012_1_250","250","JPY","0","0",
"25006_250751_1_530","530","JPY","0","0",
"21005_210331_1_250","250","JPY","0","0",
"21001_211012_1_450","450","JPY","0","0",
"29003_290541_1_390","390","JPY","0","0",
"25003_505_1_820","820","JPY","0","0",
"21004_210062_1_260","260","JPY","0","0",
"20005_200172_1_260","260","JPY","0","0",
"20003_200291_1_410","410","JPY","0","0",
"25004_250612_1_200","200","JPY","0","0",
"29007_290875_1_200","200","JPY","0","0",
"25004_250621_1_230","230","JPY","0","0",
"20003_200402_1_540","540","JPY","0","0",
"25005_250931_1_340","340","JPY","0","0",
"25006_250812_1_170","170","JPY","0","0",
"29005_291092_1_450","450","JPY","0","0",
"25001_250462_1_580","580","JPY","0","0",
"25001_250462_1_720","720","JPY","0","0",
"20001_200211_1_430","430","JPY","0","0",
"29007_290113_1_280","280","JPY","0","0",
"21002_210011_1_190","190","JPY","0","0",
"21007_210621_1_260","260","JPY","0","0",
"29007_290871_1_270","270","JPY","0","0",
"20001_200212_1_190","190","JPY","0","0",
"25003_508_1_250","250","JPY","0","0",
"29005_291012_1_150","150","JPY","0","0",
"20003_200292_1_340","340","JPY","0","0",
"21007_210612_1_770","770","JPY","0","0",
"25004_250601_1_360","360","JPY","0","0",
"25004_250602_1_260","260","JPY","0","0",
"29005_291011_1_290","290","JPY","0","0",
"20002_200244_1_270","270","JPY","0","0",
"25002_250472_1_340","340","JPY","0","0",
"25004_250606_1_240","240","JPY","0","0",
"25004_250621_1_690","690","JPY","0","0",
