"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"20005_200151_1","20_136_20180723","136_200151101_20170225","東宝伝",,,,,,,"20"
"20005_200151_1","20_137_20180723","137_200151101_20170225","東宝伝",,,,,,,"20"
"20005_200151_1","20_136_20180723","136_200151102_20170225","東宝伝",,,,,,,"20"
"20005_200151_1","20_137_20180723","137_200151103_20170225","東宝伝",,,,,,,"20"
"20005_200151_1","20_138_20180723","138_200151401_20170225","東宝伝",,,,,,,"20"
"20005_200151_1","20_138_20180723","138_200151402_20170225","東宝伝",,,,,,,"20"
"20005_200151_1","20_136_20180723","136_200151103_20170225","東宝伝",,,,,,,"20"
"20005_200151_1","20_137_20180723","137_200151102_20170225","東宝伝",,,,,,,"20"
"20005_200152_1","20_137_20180723","137_200152101_20170225","西大寺",,,,,,,"20"
"20005_200152_1","20_136_20180723","136_200152103_20170225","西大寺",,,,,,,"20"
"20005_200152_1","20_138_20180723","138_200152401_20170225","西大寺",,,,,,,"20"
"20005_200152_1","20_137_20180723","137_200152103_20170225","西大寺",,,,,,,"20"
"20005_200152_1","20_136_20180723","136_200152102_20170225","西大寺",,,,,,,"20"
"20005_200152_1","20_138_20180723","138_200152402_20170225","西大寺",,,,,,,"20"
"20005_200152_1","20_137_20180723","137_200152102_20170225","西大寺",,,,,,,"20"
"20005_200152_1","20_136_20180723","136_200152101_20170225","西大寺",,,,,,,"20"
"20005_200152_1","20_138_20180723","138_200152403_20170225","西大寺",,,,,,,"20"
"20005_200171_1","20_136_20180723","136_200171101_20170225","東宝伝",,,,,,,"20"
"20005_200171_1","20_137_20180723","137_200171101_20170225","東宝伝",,,,,,,"20"
"20005_200171_1","20_138_20180723","138_200171401_20170225","東宝伝",,,,,,,"20"
"20005_200172_1","20_137_20180723","137_200172101_20170225","西大寺",,,,,,,"20"
"20005_200172_1","20_138_20180723","138_200172401_20170225","西大寺",,,,,,,"20"
"20005_200172_1","20_136_20180723","136_200172101_20170225","西大寺",,,,,,,"20"
"21006_211081_1","21_142_20180723","142_211081307_20170225","新屋敷団地高島駅前",,,,,,,"21"
"21006_211081_1","21_142_20180723","142_211081306_20170225","新屋敷団地高島駅前",,,,,,,"21"
"21006_211081_1","21_141_20180723","141_211081214_20170225","新屋敷団地高島駅前",,,,,,,"21"
"21006_211081_1","21_140_20180723","140_211081109_20170225","新屋敷団地高島駅前",,,,,,,"21"
"21006_211081_1","21_140_20180723","140_211081101_20170225","新屋敷団地高島駅前",,,,,,,"21"
"21006_211081_1","21_142_20180723","142_211081310_20170225","新屋敷団地高島駅前",,,,,,,"21"
"21006_211081_1","21_140_20180723","140_211081115_20170225","新屋敷団地高島駅前",,,,,,,"21"
