service_id,date,exception_type
平日,20180716,2
日祝,20180716,1
土曜,20180811,2
日祝,20180811,1
平日,20180917,2
日祝,20180917,1
平日,20180924,2
日祝,20180924,1
平日,20181008,2
日祝,20181008,1
土曜,20181103,2
日祝,20181103,1
平日,20181123,2
日祝,20181123,1
平日,20181224,2
日祝,20181224,1
平日,20190101,2
日祝,20190101,1
平日,20190114,2
日祝,20190114,1
平日,20190211,2
日祝,20190211,1
平日,20190321,2
日祝,20190321,1
平日,20190429,2
日祝,20190429,1
平日,20190503,2
日祝,20190503,1
土曜,20190504,2
日祝,20190504,1
平日,20190506,2
日祝,20190506,1
指定,20180706,1
指定,20180707,1
指定,20180708,1
指定,20180713,1
指定,20180714,1
指定,20180715,1
指定,20180716,1
指定,20180720,1
指定,20180721,1
指定,20180722,1
指定,20180727,1
指定,20180728,1
指定,20180729,1
指定,20180803,1
指定,20180804,1
指定,20180805,1
指定,20180810,1
指定,20180811,1
指定,20180812,1
指定,20180813,1
指定,20180814,1
指定,20180815,1
指定,20180817,1
指定,20180818,1
指定,20180819,1
指定,20180824,1
指定,20180825,1
指定,20180826,1
指定,20180831,1
指定,20180901,1
指定,20180902,1
指定,20180907,1
指定,20180908,1
指定,20180909,1
指定,20180914,1
指定,20180915,1
指定,20180916,1
指定,20180917,1
指定,20180921,1
指定,20180922,1
指定,20180923,1
指定,20180924,1
指定,20180928,1
指定,20180929,1
指定,20180930,1
指定,20181005,1
指定,20181006,1
指定,20181007,1
指定,20181008,1
指定,20181012,1
指定,20181013,1
指定,20181014,1
指定,20181019,1
指定,20181020,1
指定,20181021,1
指定,20181026,1
指定,20181027,1
指定,20181028,1
指定,20181102,1
指定,20181103,1
指定,20181104,1
指定,20181109,1
指定,20181110,1
指定,20181111,1
指定,20181116,1
指定,20181117,1
指定,20181118,1
指定,20181123,1
指定,20181124,1
指定,20181125,1
指定,20181130,1
指定,20181201,1
指定,20181202,1
指定,20181207,1
指定,20181208,1
指定,20181209,1
指定,20181214,1
指定,20181215,1
指定,20181216,1
指定,20181221,1
指定,20181222,1
指定,20181223,1
指定,20181224,1
指定,20181228,1
指定,20181229,1
指定,20181230,1
指定,20190104,1
指定,20190105,1
指定,20190106,1
指定,20190111,1
指定,20190112,1
指定,20190113,1
指定,20190114,1
指定,20190118,1
指定,20190119,1
指定,20190120,1
指定,20190125,1
指定,20190126,1
指定,20190127,1
指定,20190201,1
指定,20190202,1
指定,20190203,1
指定,20190208,1
指定,20190209,1
指定,20190210,1
指定,20190211,1
指定,20190215,1
指定,20190216,1
指定,20190217,1
指定,20190222,1
指定,20190223,1
指定,20190224,1
指定,20190301,1
指定,20190302,1
指定,20190303,1
指定,20190308,1
指定,20190309,1
指定,20190310,1
指定,20190315,1
指定,20190316,1
指定,20190317,1
指定,20190321,1
指定,20190322,1
指定,20190323,1
指定,20190324,1
指定,20190329,1
指定,20190330,1
指定,20190331,1
