shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
I5上,34.494074,133.953654,1
I5上,34.493603,133.949343,2
I5上,34.493424,133.94466,3
I5上,34.492225,133.940847,4
I5上,34.489458,133.939476,5
I5上,34.485726,133.932099,6
I5上,34.483373,133.931656,7
I5上,34.481637,133.929888,8
I5上,34.47833,133.931182,9
I5上,34.475614,133.932488,10
I5上,34.471773,133.933221,11
I5上,34.470901,133.926512,12
I5上,34.468948,133.922162,13
I5上,34.466287,133.921334,14
I5上,34.461648,133.922091,15
I5上,34.458272,133.922526,16
I5上,34.456182,133.917329,17
I5上,34.457376,133.911983,18
I5上,34.457796,133.910269,19
I5上,34.457153,133.906466,20
I5上,34.456538,133.903018,21
I5上,34.457181,133.898591,22
I5上,34.456949,133.88002,23
I5上,34.460432,133.87616,24
I5上,34.466082,133.869314,25
I5上,34.467595,133.867215,26
I5上,34.468407,133.865528,27
I5上,34.469489,133.86327,28
I5上,34.469756,133.85996,29
I5上,34.469824,133.857138,30
I5上,34.470547,133.850263,31
I5上,34.471334,133.847106,32
I5上,34.474827,133.844631,33
I5上,34.47545,133.841917,34
I5上,34.476501,133.837322,35
I5上,34.477078,133.83307,36
I5上,34.476934,133.830941,37
I5上,34.476416,133.828455,38
I5上,34.475026,133.825873,39
I5上,34.474246,133.82389,40
I5上,34.472321,133.820966,41
I5上,34.469829,133.8178,42
I5上,34.469598,133.813683,43
I5上,34.470273,133.808915,44
I5上,34.469804,133.804952,45
I5上,34.46754,133.802699,46
I5上,34.465894,133.804201,47
I5上,34.462879,133.807012,48
I5下,34.462879,133.807012,1
I5下,34.46608,133.803681,2
I5下,34.46754,133.802699,3
I5下,34.469707,133.805027,4
I5下,34.470291,133.80907,5
I5下,34.469687,133.813618,6
I5下,34.469954,133.818064,7
I5下,34.472316,133.82089,8
I5下,34.474232,133.823733,9
I5下,34.474838,133.825508,10
I5下,34.47643,133.828342,11
I5下,34.477034,133.831833,12
I5下,34.477113,133.832851,13
I5下,34.476428,133.8378,14
I5下,34.475439,133.842129,15
I5下,34.474797,133.844855,16
I5下,34.471534,133.847061,17
I5下,34.470228,133.85125,18
I5下,34.469896,133.857749,19
I5下,34.469839,133.859049,20
I5下,34.469686,133.862729,21
I5下,34.468241,133.865846,22
I5下,34.467587,133.867315,23
I5下,34.466018,133.869481,24
I5下,34.460562,133.876126,25
I5下,34.457185,133.879866,26
I5下,34.457241,133.899149,27
I5下,34.4566,133.903017,28
I5下,34.457316,133.907206,29
I5下,34.457838,133.910201,30
I5下,34.457066,133.912959,31
I5下,34.456221,133.916826,32
I5下,34.458068,133.92226,33
I5下,34.461024,133.922354,34
I5下,34.465825,133.921285,35
I5下,34.469322,133.922213,36
I5下,34.470971,133.926027,37
I5下,34.471805,133.933021,38
I5下,34.475442,133.932491,39
I5下,34.477583,133.931701,40
I5下,34.481619,133.929801,41
I5下,34.4832,133.931594,42
I5下,34.485624,133.931882,43
I5下,34.489158,133.939368,44
I5下,34.492177,133.940678,45
I5下,34.493601,133.945615,46
I5下,34.493749,133.94944,47
I5下,34.494074,133.953654,48
C01下,34.601118,133.766208,1
C01下,34.603188,133.769788,2
C01下,34.60368,133.772696,3
C01下,34.600953,133.773184,4
C01下,34.601037,133.774611,5
C01下,34.600575,133.777315,6
C01下,34.59903,133.777543,7
C01下,34.596915,133.777792,8
C01下,34.594643,133.775759,9
C01下,34.593356,133.771781,10
C01下,34.590101,133.772664,11
C01下,34.586641,133.776421,12
C01下,34.584238,133.779633,13
C01下,34.582432,133.782126,14
C01下,34.579771,133.78453,15
C01下,34.576359,133.786179,16
C01下,34.576963,133.791518,17
C01下,34.572998,133.795843,18
C01下,34.571503,133.798198,19
C01下,34.569367,133.80113,20
C01下,34.568351,133.802455,21
C01下,34.564877,133.805482,22
C01下,34.562408,133.807586,23
C01下,34.560209,133.809978,24
C01下,34.559543,133.811635,25
C01下,34.559255,133.812816,26
C01下,34.555128,133.816038,27
C01下,34.551957,133.816385,28
C01下,34.547242,133.815277,29
C01下,34.542506,133.815751,30
C01下,34.538151,133.812371,31
C01下,34.532815,133.808778,32
C01下,34.528285,133.804697,33
C01下,34.523105,133.805537,34
C01下,34.517322,133.806467,35
C01下,34.512712,133.807353,36
C01下,34.510236,133.807782,37
C01下,34.506432,133.808136,38
C01下,34.501682,133.806298,39
C01下,34.496408,133.803528,40
C01下,34.493661,133.802138,41
C01下,34.491476,133.801043,42
C01下,34.487943,133.799346,43
C01下,34.481216,133.799286,44
C01下,34.477332,133.800705,45
C01下,34.474996,133.802189,46
C01下,34.469804,133.804952,47
C01下,34.46754,133.802699,48
C01下,34.465894,133.804201,49
C01下,34.462833,133.807232,50
C01上,34.462833,133.807232,1
C01上,34.46608,133.803681,2
C01上,34.46754,133.802699,3
C01上,34.469707,133.805027,4
C01上,34.475509,133.801739,5
C01上,34.478595,133.800182,6
C01上,34.481625,133.799138,7
C01上,34.488131,133.799329,8
C01上,34.49185,133.801163,9
C01上,34.493514,133.802004,10
C01上,34.497093,133.80385,11
C01上,34.50185,133.80614,12
C01上,34.506578,133.807873,13
C01上,34.508872,133.807599,14
C01上,34.512338,133.807286,15
C01上,34.517664,133.806143,16
C01上,34.523706,133.805167,17
C01上,34.528245,133.804603,18
C01上,34.53287,133.808699,19
C01上,34.538308,133.812285,20
C01上,34.542914,133.815629,21
C01上,34.547255,133.815233,22
C01上,34.551968,133.816347,23
C01上,34.555325,133.815999,24
C01上,34.559141,133.813232,25
C01上,34.559506,133.811595,26
C01上,34.560209,133.809978,27
C01上,34.561565,133.80809,28
C01上,34.564919,133.805319,29
C01上,34.568417,133.80227,30
C01上,34.569859,133.800266,31
C01上,34.571302,133.798265,32
C01上,34.572876,133.795942,33
C01上,34.577228,133.791285,34
C01上,34.576792,133.78575,35
C01上,34.57978,133.784256,36
C01上,34.58264,133.781678,37
C01上,34.584137,133.779653,38
C01上,34.586251,133.776859,39
C01上,34.590055,133.772599,40
C01上,34.593363,133.771666,41
C01上,34.595149,133.777033,42
C01上,34.597572,133.777716,43
C01上,34.5992,133.777437,44
C01上,34.600644,133.777222,45
C01上,34.60098,133.775222,46
C01上,34.600905,133.77328,47
C01上,34.604015,133.772607,48
C01上,34.603508,133.770456,49
C01上,34.601118,133.766208,50
A02下,34.661688,133.928218,1
A02下,34.663155,133.926067,2
A02下,34.665145,133.918426,3
A02下,34.661379,133.919252,4
A02下,34.657627,133.919457,5
A02下,34.655228,133.918852,6
A02下,34.653485,133.917734,7
A02下,34.651117,133.914955,8
A02下,34.649996,133.913514,9
A02下,34.647242,133.911395,10
A02下,34.645587,133.908348,11
A02下,34.644025,133.9048,12
A02下,34.642412,133.904846,13
A02下,34.638442,133.904349,14
A02下,34.636176,133.901925,15
A02下,34.633631,133.899067,16
A02下,34.63149,133.896608,17
A02下,34.630281,133.895235,18
A02下,34.6273,133.891624,19
A02下,34.625677,133.886059,20
A02下,34.623492,133.881964,21
A02下,34.621998,133.879287,22
A02下,34.619051,133.872659,23
A02下,34.617938,133.869274,24
A02下,34.616777,133.865768,25
A02下,34.6151,133.861353,26
A02下,34.610665,133.858548,27
A02下,34.608473,133.857401,28
A02下,34.603905,133.854973,29
A02下,34.600568,133.853247,30
A02下,34.595319,133.851376,31
A02下,34.591796,133.851201,32
A02下,34.588579,133.851044,33
A02下,34.58552,133.850823,34
A02下,34.582252,133.850603,35
A02下,34.579199,133.850437,36
A02下,34.577192,133.850225,37
A02下,34.573607,133.847878,38
A02下,34.569062,133.844909,39
A02下,34.566037,133.842984,40
A02下,34.561579,133.840089,41
A02下,34.558566,133.838032,42
A02下,34.556202,133.835704,43
A02下,34.553985,133.832925,44
A02下,34.550424,133.827574,45
A02下,34.548714,133.824661,46
A02下,34.546739,133.820981,47
A02下,34.541708,133.816119,48
A02下,34.538151,133.812371,49
A02下,34.532815,133.808778,50
A02下,34.528285,133.804697,51
A02下,34.523105,133.805537,52
A02下,34.517322,133.806467,53
A02下,34.512712,133.807353,54
A02下,34.510236,133.807782,55
A02下,34.506432,133.808136,56
A02下,34.501682,133.806298,57
A02下,34.500065,133.809644,58
A02下,34.501976,133.807134,59
A02下,34.496947,133.811706,60
A02下,34.494995,133.812543,61
A02下,34.491078,133.815182,62
A02下,34.486528,133.817915,63
A02下,34.483746,133.81935,64
A02下,34.480654,133.821786,65
A02下,34.478079,133.823998,66
A02下,34.476374,133.825766,67
A02下,34.474332,133.827056,68
A02下,34.472857,133.824881,69
A02下,34.471696,133.82316,70
A02下,34.470094,133.820737,71
A02下,34.46851,133.816732,72
A02下,34.467146,133.812792,73
A02下,34.46625,133.810241,74
A02下,34.467996,133.807648,75
A02下,34.469804,133.804952,76
A02下,34.46754,133.802699,77
A02下,34.465894,133.804201,78
A02下,34.462879,133.807012,79
A02上,34.462879,133.807012,1
A02上,34.46608,133.803681,2
A02上,34.46754,133.802699,3
A02上,34.469707,133.805027,4
A02上,34.467996,133.807648,5
A02上,34.466498,133.810252,6
A02上,34.467146,133.812792,7
A02上,34.468769,133.81711,8
A02上,34.470018,133.820442,9
A02上,34.472147,133.823655,10
A02上,34.472758,133.824568,11
A02上,34.474147,133.826592,12
A02上,34.47646,133.825614,13
A02上,34.478136,133.823892,14
A02上,34.480706,133.821672,15
A02上,34.483214,133.819675,16
A02上,34.487265,133.817577,17
A02上,34.490758,133.815295,18
A02上,34.493921,133.813004,19
A02上,34.497423,133.81147,20
A02上,34.499107,133.810381,21
A02上,34.50074,133.808982,22
A02上,34.501964,133.807058,23
A02上,34.506578,133.807873,24
A02上,34.508872,133.807599,25
A02上,34.512338,133.807286,26
A02上,34.517664,133.806143,27
A02上,34.523706,133.805167,28
A02上,34.528245,133.804603,29
A02上,34.53287,133.808699,30
A02上,34.538308,133.812285,31
A02上,34.542343,133.816468,32
A02上,34.547437,133.822011,33
A02上,34.548988,133.824862,34
A02上,34.55096,133.828204,35
A02上,34.55423,133.833456,36
A02上,34.556368,133.835749,37
A02上,34.559076,133.838394,38
A02上,34.561433,133.839917,39
A02上,34.566267,133.843073,40
A02上,34.569186,133.844946,41
A02上,34.573912,133.848042,42
A02上,34.577702,133.850296,43
A02上,34.579082,133.850373,44
A02上,34.582313,133.850572,45
A02上,34.585522,133.850783,46
A02上,34.588758,133.850977,47
A02上,34.592219,133.851153,48
A02上,34.595993,133.851352,49
A02上,34.600291,133.853012,50
A02上,34.603936,133.854931,51
A02上,34.608969,133.857539,52
A02上,34.61234,133.859331,53
A02上,34.615011,133.861013,54
A02上,34.61665,133.865113,55
A02上,34.617972,133.86918,56
A02上,34.6193,133.873233,57
A02上,34.621892,133.878962,58
A02上,34.623889,133.882564,59
A02上,34.625759,133.886132,60
A02上,34.62717,133.891365,61
A02上,34.630528,133.895171,62
A02上,34.631848,133.896646,63
A02上,34.633045,133.898046,64
A02上,34.636297,133.90167,65
A02上,34.638588,133.904269,66
A02上,34.643274,133.904721,67
A02上,34.644564,133.904725,68
A02上,34.645651,133.908697,69
A02上,34.647717,133.911261,70
A02上,34.650172,133.913555,71
A02上,34.651393,133.914864,72
A02上,34.653829,133.917567,73
A02上,34.655512,133.918637,74
A02上,34.657911,133.919139,75
A02上,34.661926,133.918947,76
A02上,34.665145,133.918426,77
A02上,34.665679,133.920978,78
A02上,34.663204,133.926374,79
A02上,34.661688,133.928218,80
A07下,34.661688,133.928218,1
A07下,34.663155,133.926067,2
A07下,34.665145,133.918426,3
A07下,34.661379,133.919252,4
A07下,34.657627,133.919457,5
A07下,34.655228,133.918852,6
A07下,34.653485,133.917734,7
A07下,34.651117,133.914955,8
A07下,34.649996,133.913514,9
A07下,34.647242,133.911395,10
A07下,34.645587,133.908348,11
A07下,34.644025,133.9048,12
A07下,34.642412,133.904846,13
A07下,34.638442,133.904349,14
A07下,34.636176,133.901925,15
A07下,34.633631,133.899067,16
A07下,34.63149,133.896608,17
A07下,34.630281,133.895235,18
A07下,34.6273,133.891624,19
A07下,34.625677,133.886059,20
A07下,34.623492,133.881964,21
A07下,34.621998,133.879287,22
A07下,34.619051,133.872659,23
A07下,34.617938,133.869274,24
A07下,34.616777,133.865768,25
A07下,34.6151,133.861353,26
A07下,34.610665,133.858548,27
A07下,34.608473,133.857401,28
A07下,34.603905,133.854973,29
A07下,34.600568,133.853247,30
A07下,34.595319,133.851376,31
A07下,34.591796,133.851201,32
A07下,34.588579,133.851044,33
A07下,34.58552,133.850823,34
A07下,34.582252,133.850603,35
A07下,34.579199,133.850437,36
A07下,34.577192,133.850225,37
A07下,34.573607,133.847878,38
A07下,34.569062,133.844909,39
A07下,34.566037,133.842984,40
A07上,34.566267,133.843073,1
A07上,34.569186,133.844946,2
A07上,34.573912,133.848042,3
A07上,34.577702,133.850296,4
A07上,34.579082,133.850373,5
A07上,34.582313,133.850572,6
A07上,34.585522,133.850783,7
A07上,34.588758,133.850977,8
A07上,34.592219,133.851153,9
A07上,34.595993,133.851352,10
A07上,34.600291,133.853012,11
A07上,34.603936,133.854931,12
A07上,34.608969,133.857539,13
A07上,34.61234,133.859331,14
A07上,34.615011,133.861013,15
A07上,34.61665,133.865113,16
A07上,34.617972,133.86918,17
A07上,34.6193,133.873233,18
A07上,34.621892,133.878962,19
A07上,34.623889,133.882564,20
A07上,34.625759,133.886132,21
A07上,34.62717,133.891365,22
A07上,34.630528,133.895171,23
A07上,34.631848,133.896646,24
A07上,34.633045,133.898046,25
A07上,34.636297,133.90167,26
A07上,34.638588,133.904269,27
A07上,34.643274,133.904721,28
A07上,34.644564,133.904725,29
A07上,34.645651,133.908697,30
A07上,34.647717,133.911261,31
A07上,34.650172,133.913555,32
A07上,34.651393,133.914864,33
A07上,34.653829,133.917567,34
A07上,34.655512,133.918637,35
A07上,34.657911,133.919139,36
A07上,34.661926,133.918947,37
A07上,34.665145,133.918426,38
A07上,34.665679,133.920978,39
A07上,34.663204,133.926374,40
A07上,34.661688,133.928218,41
A21下001,34.661688,133.928218,1
A21下001,34.663155,133.926067,2
A21下001,34.665145,133.918426,3
A21下001,34.661379,133.919252,4
A21下001,34.657627,133.919457,5
A21下001,34.655228,133.918852,6
A21下001,34.653485,133.917734,7
A21下001,34.651117,133.914955,8
A21下001,34.649996,133.913514,9
A21下001,34.647242,133.911395,10
A21下001,34.645587,133.908348,11
A21下001,34.644025,133.9048,12
A21下001,34.642412,133.904846,13
A21下001,34.638442,133.904349,14
A21下001,34.636176,133.901925,15
A21下001,34.633631,133.899067,16
A21下001,34.63149,133.896608,17
A21下001,34.630281,133.895235,18
A21下001,34.6273,133.891624,19
A21下001,34.625677,133.886059,20
A21下001,34.623492,133.881964,21
A21下001,34.621998,133.879287,22
A21下001,34.619051,133.872659,23
A21下001,34.617938,133.869274,24
A21下001,34.616777,133.865768,25
A21下001,34.6151,133.861353,26
A21上001,34.615011,133.861013,1
A21上001,34.61665,133.865113,2
A21上001,34.617972,133.86918,3
A21上001,34.6193,133.873233,4
A21上001,34.621892,133.878962,5
A21上001,34.623889,133.882564,6
A21上001,34.625759,133.886132,7
A21上001,34.62717,133.891365,8
A21上001,34.630528,133.895171,9
A21上001,34.631848,133.896646,10
A21上001,34.633045,133.898046,11
A21上001,34.636297,133.90167,12
A21上001,34.638588,133.904269,13
A21上001,34.643274,133.904721,14
A21上001,34.644564,133.904725,15
A21上001,34.645651,133.908697,16
A21上001,34.647717,133.911261,17
A21上001,34.650172,133.913555,18
A21上001,34.651393,133.914864,19
A21上001,34.653829,133.917567,20
A21上001,34.655512,133.918637,21
A21上001,34.657911,133.919139,22
A21上001,34.661926,133.918947,23
A21上001,34.665145,133.918426,24
A21上001,34.665679,133.920978,25
A21上001,34.663204,133.926374,26
A21上001,34.661688,133.928218,27
B02下,34.665145,133.918426,1
B02下,34.665679,133.920978,2
B02下,34.663204,133.926374,3
B02下,34.661688,133.928218,4
B02下,34.659122,133.926472,5
B02下,34.656154,133.925434,6
B02下,34.656146,133.921989,7
B02下,34.65613,133.918423,8
B02下,34.655993,133.91341,9
B02下,34.655989,133.911218,10
B02下,34.655927,133.907842,11
B02下,34.655229,133.904053,12
B02下,34.654427,133.901474,13
B02下,34.652496,133.895557,14
B02下,34.650137,133.890321,15
B02下,34.652483,133.885265,16
B02下,34.648646,133.884764,17
B02下,34.648244,133.879775,18
B02下,34.648039,133.876141,19
B02下,34.646404,133.870155,20
B02下,34.64432,133.863424,21
B02下,34.646117,133.858205,22
B02下,34.646205,133.852677,23
B02下,34.646143,133.84875,24
B02下,34.644041,133.840215,25
B02下,34.643266,133.837718,26
B02下,34.641543,133.83227,27
B02下,34.640093,133.827783,28
B02下,34.637145,133.818521,29
B02下,34.634064,133.812291,30
B02下,34.632453,133.809453,31
B02下,34.629826,133.807066,32
B02下,34.626638,133.808065,33
B02上,34.626638,133.808065,1
B02上,34.629844,133.80691,2
B02上,34.632854,133.809995,3
B02上,34.63492,133.813557,4
B02上,34.637398,133.81905,5
B02上,34.64045,133.828534,6
B02上,34.641799,133.832721,7
B02上,34.643257,133.837377,8
B02上,34.644206,133.840405,9
B02上,34.646161,133.847326,10
B02上,34.646258,133.854133,11
B02上,34.646177,133.858693,12
B02上,34.64471,133.864447,13
B02上,34.646458,133.870034,14
B02上,34.648096,133.875427,15
B02上,34.64839,133.879882,16
B02上,34.648787,133.884694,17
B02上,34.65269,133.885507,18
B02上,34.650786,133.891249,19
B02上,34.652711,133.895583,20
B02上,34.654305,133.90053,21
B02上,34.655388,133.903916,22
B02上,34.656123,133.90863,23
B02上,34.656289,133.913839,24
B02上,34.656386,133.917763,25
B02上,34.656404,133.922047,26
B02上,34.656415,133.924659,27
B02上,34.658824,133.926178,28
B02上,34.661688,133.928218,29
B02上,34.663204,133.926374,30
B02上,34.665145,133.918426,31
D16下,34.601047,133.766275,1
D16下,34.603188,133.769788,2
D16下,34.60368,133.772696,3
D16下,34.600953,133.773184,4
D16下,34.601037,133.774611,5
D16下,34.600575,133.777315,6
D16下,34.59903,133.777543,7
D16下,34.596915,133.777792,8
D16下,34.596392,133.780016,9
D16下,34.596191,133.78818,10
D16下,34.594639,133.79086,11
D16下,34.591891,133.793997,12
D16下,34.589194,133.797691,13
D16下,34.587762,133.800426,14
D16下,34.586992,133.80191,15
D16下,34.585159,133.805416,16
D16下,34.583493,133.808572,17
D16下,34.582464,133.810614,18
D16下,34.580536,133.814733,19
D16下,34.579641,133.817187,20
D16下,34.578546,133.820175,21
D16下,34.57786,133.821993,22
D16下,34.576889,133.825571,23
D16上,34.576889,133.825571,1
D16上,34.577609,133.822459,2
D16上,34.578497,133.820127,3
D16上,34.57957,133.817266,4
D16上,34.58043,133.814888,5
D16上,34.582274,133.810788,6
D16上,34.583579,133.80831,7
D16上,34.585311,133.804991,8
D16上,34.586959,133.801831,9
D16上,34.587893,133.80004,10
D16上,34.589271,133.797453,11
D16上,34.592339,133.79341,12
D16上,34.594384,133.79107,13
D16上,34.596341,133.786586,14
D16上,34.596361,133.780174,15
D16上,34.597572,133.777716,16
D16上,34.5992,133.777437,17
D16上,34.600644,133.777222,18
D16上,34.60098,133.775222,19
D16上,34.600905,133.77328,20
D16上,34.604015,133.772607,21
D16上,34.603508,133.770456,22
D16上,34.601047,133.766275,23
D19下,34.601047,133.766275,1
D19下,34.603188,133.769788,2
D19下,34.60368,133.772696,3
D19下,34.600953,133.773184,4
D19下,34.601037,133.774611,5
D19下,34.600575,133.777315,6
D19下,34.59903,133.777543,7
D19下,34.596915,133.777792,8
D19下,34.596392,133.780016,9
D19下,34.596191,133.78818,10
D19下,34.594639,133.79086,11
D19下,34.591891,133.793997,12
D19下,34.589194,133.797691,13
D19下,34.587762,133.800426,14
D19下,34.586992,133.80191,15
D19下,34.585159,133.805416,16
D19下,34.583493,133.808572,17
D19下,34.582464,133.810614,18
D19下,34.580536,133.814733,19
D19下,34.579641,133.817187,20
D19下,34.578546,133.820175,21
D19下,34.57786,133.821993,22
D19下,34.576889,133.825571,23
D19下,34.579253,133.828357,24
D19下,34.578468,133.830998,25
D19下,34.577335,133.834771,26
D19下,34.569215,133.844185,27
D19下,34.566267,133.843073,28
D19上,34.566267,133.843073,1
D19上,34.569215,133.844185,2
D19上,34.577108,133.835297,3
D19上,34.578176,133.831775,4
D19上,34.579254,133.828122,5
D19上,34.576889,133.825571,6
D19上,34.577609,133.822459,7
D19上,34.578497,133.820127,8
D19上,34.57957,133.817266,9
D19上,34.58043,133.814888,10
D19上,34.582274,133.810788,11
D19上,34.583579,133.80831,12
D19上,34.585311,133.804991,13
D19上,34.586959,133.801831,14
D19上,34.587893,133.80004,15
D19上,34.589271,133.797453,16
D19上,34.592339,133.79341,17
D19上,34.594384,133.79107,18
D19上,34.596341,133.786586,19
D19上,34.596361,133.780174,20
D19上,34.597572,133.777716,21
D19上,34.5992,133.777437,22
D19上,34.600644,133.777222,23
D19上,34.60098,133.775222,24
D19上,34.600905,133.77328,25
D19上,34.604015,133.772607,26
D19上,34.603508,133.770456,27
D19上,34.601047,133.766275,28
D24下,34.588907,133.76518,1
