stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
5_01,,岡山駅,,34.665145,133.918426,5_01,,0,
10_01,,岡山駅前,,34.665679,133.920978,10_01,,0,
25_01,,ＮＴＴ岡山前,,34.663204,133.926374,25_01,,0,
25_02,,ＮＴＴ岡山前,,34.663155,133.926067,25_02,,0,
50_01,,天満屋,,34.661688,133.928218,50_01,,0,
110_01,,イオンモール岡山前・源吉兆庵本社前,,34.661926,133.918947,110_01,,0,
110_02,,イオンモール岡山前・源吉兆庵本社前,,34.661379,133.919252,110_02,,0,
115_01,,山陽新聞社前,,34.657911,133.919139,115_01,,0,
115_02,,山陽新聞社前,,34.657627,133.919457,115_02,,0,
120_01,,岡山市役所前,,34.655512,133.918637,120_01,,0,
120_02,,岡山市役所前,,34.655228,133.918852,120_02,,0,
125_01,,水道局前,,34.653829,133.917567,125_01,,0,
125_02,,水道局前,,34.653485,133.917734,125_02,,0,
130_01,,精神科医療センター西,,34.651393,133.914864,130_01,,0,
130_02,,精神科医療センター西,,34.651117,133.914955,130_02,,0,
135_01,,東古松二丁目,,34.650172,133.913555,135_01,,0,
135_02,,東古松二丁目,,34.649996,133.913514,135_02,,0,
140_01,,大元駅前,,34.647717,133.911261,140_01,,0,
140_02,,大元駅前,,34.647242,133.911395,140_02,,0,
145_01,,西古松,,34.645651,133.908697,145_01,,0,
145_02,,西古松,,34.645587,133.908348,145_02,,0,
150_01,,大元一丁目,,34.644564,133.904725,150_01,,0,
150_02,,大元一丁目,,34.644025,133.904800,150_02,,0,
155_01,,野崎,,34.643274,133.904721,155_01,,0,
155_02,,野崎,,34.642412,133.904846,155_02,,0,
160_01,,下中野北,,34.638588,133.904269,160_01,,0,
160_02,,下中野北,,34.638442,133.904349,160_02,,0,
165_01,,下中野,,34.636297,133.901670,165_01,,0,
165_02,,下中野,,34.636176,133.901925,165_02,,0,
170_01,,両備テクノ前,,34.633045,133.898046,170_01,,0,
170_02,,両備テクノ前,,34.633631,133.899067,170_02,,0,
175_01,,大角橋,,34.631848,133.896646,175_01,,0,
175_02,,大角橋,,34.631490,133.896608,175_02,,0,
180_01,,西市,,34.630528,133.895171,180_01,,0,
180_02,,西市,,34.630281,133.895235,180_02,,0,
185_01,,米倉,,34.627170,133.891365,185_01,,0,
185_02,,米倉,,34.627300,133.891624,185_02,,0,
190_01,,相生橋,,34.625759,133.886132,190_01,,0,
190_02,,相生橋,,34.625677,133.886059,190_02,,0,
195_01,,大福中,,34.623889,133.882564,195_01,,0,
195_02,,大福中,,34.623492,133.881964,195_02,,0,
200_01,,大福,,34.621892,133.878962,200_01,,0,
200_02,,大福,,34.621998,133.879287,200_02,,0,
205_01,,荒田,,34.619300,133.873233,205_01,,0,
205_02,,荒田,,34.619051,133.872659,205_02,,0,
210_01,,荒田西,,34.617972,133.869180,210_01,,0,
210_02,,荒田西,,34.617938,133.869274,210_02,,0,
215_01,,和田,,34.616650,133.865113,215_01,,0,
215_02,,和田,,34.616777,133.865768,215_02,,0,
220_01,,汗入,,34.615011,133.861013,220_01,,0,
220_02,,汗入,,34.615100,133.861353,220_02,,0,
255_01,,大雲寺前,,34.656415,133.924659,255_01,,0,
255_02,,大雲寺前,,34.656154,133.925434,255_02,,0,
505_01,,新西大寺町筋,,34.658824,133.926178,505_01,,0,
505_02,,新西大寺町筋,,34.659122,133.926472,505_02,,0,
510_01,,大学病院筋,,34.656404,133.922047,510_01,,0,
510_02,,大学病院筋,,34.656146,133.921989,510_02,,0,
515_01,,大供,,34.656386,133.917763,515_01,,0,
515_02,,大供,,34.656130,133.918423,515_02,,0,
520_01,,厚生町商工会議所前,,34.656289,133.913839,520_01,,0,
520_02,,厚生町商工会議所前,,34.655993,133.913410,520_02,,0,
523_02,,光生病院前,,34.655989,133.911218,523_02,,0,
525_01,,大供新屋敷,,34.656123,133.908630,525_01,,0,
525_02,,大供新屋敷,,34.655927,133.907842,525_02,,0,
530_01,,野田東,,34.655388,133.903916,530_01,,0,
530_02,,野田東,,34.655229,133.904053,530_02,,0,
535_01,,備前野田,,34.654305,133.900530,535_01,,0,
535_02,,備前野田,,34.654427,133.901474,535_02,,0,
540_01,,岡山ドーム入口,,34.652711,133.895583,540_01,,0,
540_02,,岡山ドーム入口,,34.652496,133.895557,540_02,,0,
545_01,,大野辻,,34.650786,133.891249,545_01,,0,
545_02,,大野辻,,34.650137,133.890321,545_02,,0,
