trans_id,lang,translation
岡山駅,ja,岡山駅
岡山駅,ja-Hira,おかやまえき
岡山駅前,ja,岡山駅前
岡山駅前,ja-Hira,おかやまえきまえ
ＮＴＴ岡山前,ja,NTT岡山前
ＮＴＴ岡山前,ja-Hira,えぬてぃーてぃーおかやままえ
天満屋,ja,天満屋
天満屋,ja-Hira,てんまや
イオンモール岡山前・源吉兆庵本社前,ja,イオンモール岡山前・源吉兆庵本社前
イオンモール岡山前・源吉兆庵本社前,ja-Hira,いおんもーるおかやままえ・みなもときっちょうあんほんしゃまえ
山陽新聞社前,ja,山陽新聞社前
山陽新聞社前,ja-Hira,さんようしんぶんしゃまえ
岡山市役所前,ja,岡山市役所前
岡山市役所前,ja-Hira,おかやましやくしょまえ
水道局前,ja,水道局前
水道局前,ja-Hira,すいどうきょくまえ
精神科医療センター西,ja,精神科医療センター西
精神科医療センター西,ja-Hira,せいしんかいりょうせんたーにし
東古松二丁目,ja,東古松二丁目
東古松二丁目,ja-Hira,ひがしふるまつにちょうめ
大元駅前,ja,大元駅前
大元駅前,ja-Hira,おおもとえきまえ
西古松,ja,西古松
西古松,ja-Hira,にしふるまつ
大元一丁目,ja,大元一丁目
大元一丁目,ja-Hira,おおもといっちょうめ
野崎,ja,野崎
野崎,ja-Hira,のざき
下中野北,ja,下中野北
下中野北,ja-Hira,しもなかのきた
下中野,ja,下中野
下中野,ja-Hira,しもなかの
両備テクノ前,ja,両備テクノ前
両備テクノ前,ja-Hira,りょうびてくのまえ
大角橋,ja,大角橋
大角橋,ja-Hira,おおすみばし
西市,ja,西市
西市,ja-Hira,にしいち
米倉,ja,米倉
米倉,ja-Hira,よねぐら
相生橋,ja,相生橋
相生橋,ja-Hira,あいおいばし
大福中,ja,大福中
大福中,ja-Hira,おおふくなか
大福,ja,大福
大福,ja-Hira,おおふく
荒田,ja,荒田
荒田,ja-Hira,あらた
荒田西,ja,荒田西
荒田西,ja-Hira,あらたにし
和田,ja,和田
和田,ja-Hira,わだ
汗入,ja,汗入
汗入,ja-Hira,あせり
大雲寺前,ja,大雲寺前
大雲寺前,ja-Hira,だいうんじまえ
新西大寺町筋,ja,新西大寺町筋
新西大寺町筋,ja-Hira,しんさいだいじちょうすじ
大学病院筋,ja,大学病院筋
大学病院筋,ja-Hira,だいがくびょういんすじ
大供,ja,大供
大供,ja-Hira,だいく
厚生町商工会議所前,ja,厚生町商工会議所前
厚生町商工会議所前,ja-Hira,こうせいちょうしょうこうかいぎしょまえ
光生病院前,ja,光生病院前
光生病院前,ja-Hira,こうせいびょういんまえ
大供新屋敷,ja,大供新屋敷
大供新屋敷,ja-Hira,だいくしんやしき
野田東,ja,野田東
野田東,ja-Hira,のだひがし
備前野田,ja,備前野田
備前野田,ja-Hira,びぜんのだ
岡山ドーム入口,ja,岡山ドーム入口
岡山ドーム入口,ja-Hira,おかやまどーむいりぐち
大野辻,ja,大野辻
大野辻,ja-Hira,おおのつじ
北長瀬駅前,ja,北長瀬駅前
北長瀬駅前,ja-Hira,きたながせえきまえ
中仙道,ja,中仙道
中仙道,ja-Hira,なかせんどう
西長瀬,ja,西長瀬
