route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id
I3下,平日,平日_06時15分_系統I3下,王子ヶ岳登山口,,82,I3下
E06上,平日,平日_06時15分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
E06下,平日,平日_06時20分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
D19上,平日,平日_06時22分_系統D19上,倉敷駅前（茶屋町駅前 経由）,,71,D19上
C01上,平日,平日_06時25分_系統C01上,倉敷駅前,,62,C01上
C01下,平日,平日_06時25分_系統C01下,ＪＲ児島駅,,62,C01下
A21上001,平日,平日_06時30分_系統A21上001,天満屋（岡山駅 経由）,,D80,A21上001
E06上,平日,平日_06時30分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
A07上,平日,平日_06時31分_系統A07上,天満屋（汗入 経由）,,D80,A07上
S05下,平日,平日_06時40分_系統S05下,瀬戸大橋ＦＷ,,85,S05下
I3上,平日,平日_06時40分_系統I3上,ＪＲ児島駅,,82,I3上
E06下,平日,平日_06時45分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
C01上,平日,平日_06時45分_系統C01上,倉敷駅前,,62,C01上
A07上,平日,平日_06時51分_系統A07上,天満屋（汗入 経由）,,D80,A07上
C01下,平日,平日_06時55分_系統C01下,ＪＲ児島駅,,62,C01下
D19上,平日,平日_06時55分_系統D19上,倉敷駅前（茶屋町駅前 経由）,,71,D19上
E06上,平日,平日_06時55分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
I3下,平日,平日_06時55分_系統I3下,王子ヶ岳登山口,,82,I3下
K1下,平日,平日_06時57分_系統K1下,由加山,,83,K1下
E06下,平日,平日_07時00分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
C01上,平日,平日_07時00分_系統C01上,倉敷駅前,,62,C01上
D16下,平日,平日_07時00分_系統D16下,茶屋町駅前,,72,D16下
J12下,平日,平日_07時05分_系統J12下,下津井,,84,J12下
E01上,平日,平日_07時10分_系統E01上,倉敷駅前,,52,E01上
A02下,平日,平日_07時15分_系統A02下,ＪＲ児島駅（岡山駅 経由）,,D80,A02下
C01下,平日,平日_07時15分_系統C01下,ＪＲ児島駅,,62,C01下
D1上,平日,平日_07時15分_系統D1上,倉敷駅前,,55,D1上
D24上,平日,平日_07時15分_系統D24上,倉敷成人病センター前（茶屋町駅前 経由）,,73,D24上
C01上,平日,平日_07時15分_系統C01上,倉敷駅前,,62,C01上
S05上,平日,平日_07時15分_系統S05上,ＪＲ児島駅,,85,S05上
I3上,平日,平日_07時20分_系統I3上,ＪＲ児島駅,,82,I3上
E06上,平日,平日_07時20分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
E06下,平日,平日_07時25分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
D1上,平日,平日_07時25分_系統D1上,倉敷駅前,,55,D1上
J12hlno,平日,平日_07時29分_系統J12hlno,ＪＲ児島駅,,84,J12hlno
C01上,平日,平日_07時30分_系統C01上,倉敷駅前,,62,C01上
K2上,平日,平日_07時30分_系統K2上,ＪＲ児島駅,,83,K2上
C01下,平日,平日_07時30分_系統C01下,ＪＲ児島駅,,62,C01下
D1上,平日,平日_07時35分_系統D1上,倉敷駅前,,55,D1上
A07上,平日,平日_07時36分_系統A07上,天満屋（汗入 経由）,,D80,A07上
E06上,平日,平日_07時40分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
C01上,平日,平日_07時45分_系統C01上,倉敷駅前,,62,C01上
I3下,平日,平日_07時45分_系統I3下,王子ヶ岳登山口,,82,I3下
E06下,平日,平日_07時45分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
A21下001,平日,平日_07時45分_系統A21下001,汗入（岡山駅 経由）,,D80,A21下001
C01下,平日,平日_07時45分_系統C01下,ＪＲ児島駅,,62,C01下
D16下,平日,平日_07時50分_系統D16下,茶屋町駅前,,72,D16下
J19,平日,平日_07時50分_系統J19,ＪＲ児島駅,,F1,J19
S05下,平日,平日_07時50分_系統S05下,瀬戸大橋ＦＷ,,85,S05下
E06上,平日,平日_08時00分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
A07下,平日,平日_08時00分_系統A07下,下電興除車庫前（岡山駅 経由）,,D80,A07下
D16上,平日,平日_08時00分_系統D16上,倉敷駅前,,72,D16上
C01下,平日,平日_08時00分_系統C01下,ＪＲ児島駅,,62,C01下
C01上,平日,平日_08時10分_系統C01上,倉敷駅前,,62,C01上
