trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1,08:00:00,08:00:00,86,1,,0,0,
1,08:03:00,08:03:00,89,2,,0,0,
1,08:03:59,08:03:59,90,3,,0,0,
1,08:05:59,08:05:59,91,4,,0,0,
1,08:07:00,08:07:00,272,5,,0,0,
1,08:09:00,08:09:00,273,6,,0,0,
1,08:09:59,08:09:59,274,7,,0,0,
1,08:11:00,08:11:00,275,8,,0,0,
1,08:13:00,08:13:00,276,9,,0,0,
1,08:15:00,08:15:00,277,10,,0,0,
1,08:16:00,08:16:00,278,11,,0,0,
1,08:17:00,08:17:00,204,12,,0,0,
1,08:18:00,08:18:00,205,13,,0,0,
1,08:19:00,08:19:00,95,14,,0,0,
1,08:20:00,08:20:00,4,15,,0,0,
1,08:21:00,08:21:00,266,16,,0,0,
1,08:22:00,08:22:00,1,17,,0,0,
1,08:24:59,08:24:59,37,18,,0,0,
1,08:26:59,08:26:59,267,19,,0,0,
1,08:28:00,08:28:00,268,20,,0,0,
1,08:30:00,08:30:00,253,21,,0,0,
1,08:31:00,08:31:00,269,22,,0,0,
1,08:32:00,08:32:00,270,23,,0,0,
1,08:33:00,08:33:00,271,24,,0,0,
1,08:36:00,08:36:00,86,25,,0,0,
2,08:03:59,08:03:59,37,1,,0,0,
2,08:07:00,08:07:00,1,2,,0,0,
2,08:07:59,08:07:59,283,3,,0,0,
2,08:09:00,08:09:00,3,4,,0,0,
2,08:09:59,08:09:59,141,5,,0,0,
2,08:11:00,08:11:00,187,6,,0,0,
2,08:11:59,08:11:59,188,7,,0,0,
2,08:13:00,08:13:00,284,8,,0,0,
2,08:13:59,08:13:59,285,9,,0,0,
2,08:16:00,08:16:00,276,10,,0,0,
2,08:19:00,08:19:00,286,11,,0,0,
2,08:20:00,08:20:00,287,12,,0,0,
2,08:22:00,08:22:00,272,13,,0,0,
2,08:23:00,08:23:00,22,14,,0,0,
2,08:24:59,08:24:59,23,15,,0,0,
2,08:26:00,08:26:00,24,16,,0,0,
2,08:26:59,08:26:59,25,17,,0,0,
2,08:28:00,08:28:00,26,18,,0,0,
2,08:28:59,08:28:59,27,19,,0,0,
2,08:32:00,08:32:00,279,20,,0,0,
2,08:33:00,08:33:00,280,21,,0,0,
2,08:34:00,08:34:00,269,22,,0,0,
2,08:35:00,08:35:00,232,23,,0,0,
2,08:37:00,08:37:00,281,24,,0,0,
2,08:38:00,08:38:00,282,25,,0,0,
2,08:40:00,08:40:00,37,26,,0,0,
2,08:43:00,08:43:00,1,27,,0,0,
3,08:20:00,08:20:00,27,1,,0,0,
3,08:23:00,08:23:00,279,2,,0,0,
3,08:24:00,08:24:00,280,3,,0,0,
3,08:24:59,08:24:59,269,4,,0,0,
3,08:26:00,08:26:00,232,5,,0,0,
3,08:28:00,08:28:00,281,6,,0,0,
3,08:28:59,08:28:59,282,7,,0,0,
3,08:31:00,08:31:00,37,8,,0,0,
3,08:34:00,08:34:00,1,9,,0,0,
3,08:35:00,08:35:00,283,10,,0,0,
3,08:36:00,08:36:00,3,11,,0,0,
3,08:37:00,08:37:00,141,12,,0,0,
3,08:38:00,08:38:00,187,13,,0,0,
3,08:39:00,08:39:00,188,14,,0,0,
3,08:40:00,08:40:00,284,15,,0,0,
3,08:41:00,08:41:00,285,16,,0,0,
3,08:43:00,08:43:00,276,17,,0,0,
3,08:46:00,08:46:00,286,18,,0,0,
3,08:46:59,08:46:59,287,19,,0,0,
3,08:48:59,08:48:59,272,20,,0,0,
3,08:50:00,08:50:00,22,21,,0,0,
4,09:55:00,09:55:00,22,1,,0,0,
4,09:57:00,09:57:00,23,2,,0,0,
4,09:58:00,09:58:00,24,3,,0,0,
4,09:59:00,09:59:00,25,4,,0,0,
4,10:00:00,10:00:00,26,5,,0,0,
4,10:01:00,10:01:00,27,6,,0,0,
4,10:04:00,10:04:00,279,7,,0,0,
4,10:05:00,10:05:00,280,8,,0,0,
4,10:06:00,10:06:00,269,9,,0,0,
4,10:07:00,10:07:00,232,10,,0,0,
4,10:09:00,10:09:00,281,11,,0,0,
4,10:10:00,10:10:00,282,12,,0,0,
4,10:12:00,10:12:00,38,13,,0,0,
4,10:14:00,10:14:00,81,14,,0,0,
4,10:16:00,10:16:00,37,15,,0,0,
4,10:19:00,10:19:00,1,16,,0,0,
4,10:20:00,10:20:00,283,17,,0,0,
4,10:21:00,10:21:00,3,18,,0,0,
4,10:22:00,10:22:00,141,19,,0,0,
4,10:23:00,10:23:00,187,20,,0,0,
4,10:24:00,10:24:00,188,21,,0,0,
4,10:24:59,10:24:59,284,22,,0,0,
4,10:26:00,10:26:00,285,23,,0,0,
4,10:28:00,10:28:00,276,24,,0,0,
4,10:31:00,10:31:00,286,25,,0,0,
4,10:32:00,10:32:00,287,26,,0,0,
4,10:34:00,10:34:00,272,27,,0,0,
4,10:35:00,10:35:00,22,28,,0,0,
5,09:55:00,09:55:00,1,1,,0,0,
5,09:56:00,09:56:00,283,2,,0,0,
5,09:57:00,09:57:00,3,3,,0,0,
5,09:58:00,09:58:00,141,4,,0,0,
5,09:59:00,09:59:00,187,5,,0,0,
5,10:00:00,10:00:00,188,6,,0,0,
5,10:01:00,10:01:00,284,7,,0,0,
5,10:02:00,10:02:00,285,8,,0,0,
5,10:04:00,10:04:00,276,9,,0,0,
5,10:07:00,10:07:00,286,10,,0,0,
5,10:08:00,10:08:00,287,11,,0,0,
5,10:10:00,10:10:00,272,12,,0,0,
5,10:11:00,10:11:00,22,13,,0,0,
5,10:13:00,10:13:00,23,14,,0,0,
5,10:14:00,10:14:00,24,15,,0,0,
5,10:15:00,10:15:00,25,16,,0,0,
5,10:16:00,10:16:00,26,17,,0,0,
5,10:17:00,10:17:00,27,18,,0,0,
5,10:20:00,10:20:00,279,19,,0,0,
5,10:21:00,10:21:00,280,20,,0,0,
5,10:22:00,10:22:00,269,21,,0,0,
5,10:23:00,10:23:00,232,22,,0,0,
5,10:24:59,10:24:59,281,23,,0,0,
5,10:26:00,10:26:00,282,24,,0,0,
5,10:28:00,10:28:00,38,25,,0,0,
