trans_id,lang,translation
神明駅,ja,神明駅
神明駅,ja-Hira,しんめいえき
ふくしん神明支店前（三六町２丁目）（南）,ja,ふくしん神明支店前（三六町2丁目）（南）
ふくしん神明支店前（三六町２丁目）（南）,ja-Hira,ふくしんしんめいしてんまえ（さんろくちょうにちょうめ）（みなみ）
三六連隊跡神明　神明公民館（東）,ja,三六連隊跡神明 神明公民館（東）
三六連隊跡神明　神明公民館（東）,ja-Hira,さんろくれんたいあとしんめい しんめいこうみんかん（ひがし）
三六連隊跡神明　神明公民館（西）,ja,三六連隊跡神明 神明公民館（西）
三六連隊跡神明　神明公民館（西）,ja-Hira,さんろくれんたいあとしんめい しんめいこうみんかん（にし）
糺町,ja,糺町
糺町,ja-Hira,ただすちょう
杉本,ja,杉本
杉本,ja-Hira,すぎもと
近松の里たちまち　 立待公民館,ja,近松の里たちまち 立待公民館
近松の里たちまち　 立待公民館,ja-Hira,ちかまつのさとたちまち たちまちこうみんかん
吉江七曲り通り前,ja,吉江七曲り通り前
吉江七曲り通り前,ja-Hira,よしえしちどおりまえ
JA鯖江北支店（下杉本）,ja,JA鯖江北支店（下杉本）
JA鯖江北支店（下杉本）,ja-Hira,じぇーえーさばえきたしてん（しもすぎもと）
サンリーブ前（上杉本）,ja,サンリーブ前（上杉本）
サンリーブ前（上杉本）,ja-Hira,さんりーぶまえ（かみすぎもと）
石田上（東）,ja,石田上（東）
石田上（東）,ja-Hira,いしだかみ（ひがし）
石田中（東）,ja,石田中（東）
石田中（東）,ja-Hira,いしだなか（ひがし）
小泉,ja,小泉
小泉,ja-Hira,こいずみ
大倉,ja,大倉
大倉,ja-Hira,おおくら
吉川なす発祥の地吉川　吉川公民館,ja,吉川なす発祥の地吉川　吉川公民館
吉川なす発祥の地吉川　吉川公民館,ja-Hira,よしかわなすはっしょうのちよしかわ　よしかわこうみんかん
吉田,ja,吉田
吉田,ja-Hira,よしだ
二丁掛,ja,二丁掛
二丁掛,ja-Hira,にちょがけ
下氏家町集落センター,ja,下氏家町集落センター
下氏家町集落センター,ja-Hira,しもうずえちょうしゅうらくせんたー
花と緑のまち豊　豊公民館,ja,花と緑のまち豊　豊公民館
花と緑のまち豊　豊公民館,ja-Hira,はなとみどりのまち　ゆたかこうみんかん
当田町公民館,ja,当田町公民館
当田町公民館,ja-Hira,とうでちょうこうみんかん
熊田（北）,ja,熊田（北）
熊田（北）,ja-Hira,くまだ（きた）
嚮陽会館（北）,ja,嚮陽会館（北）
嚮陽会館（北）,ja-Hira,きょうようかいかん（きた）
西鯖江駅前（北）,ja,西鯖江駅前（北）
西鯖江駅前（北）,ja-Hira,にしさばええきまえ（きた）
市民ホールつつじ前（本山前）（北）,ja,市民ホールつつじ前（本山前）（北）
市民ホールつつじ前（本山前）（北）,ja-Hira,しみんほーるつつじまえ（ほんやままえ）（きた）
本町２丁目（東）,ja,本町2丁目（東）
本町２丁目（東）,ja-Hira,ほんまちにちょうめ（ひがし）
本町1丁目（東）,ja,本町1丁目（東）
本町1丁目（東）,ja-Hira,ほんまちいっちょうめ（ひがし）
JR鯖江駅（２番のりば）,ja,JR鯖江駅（2番のりば）
JR鯖江駅（２番のりば）,ja-Hira,じぇーあーるさばええき（にばんのりば）
柳町１丁目（北）,ja,柳町1丁目（北）
柳町１丁目（北）,ja-Hira,やなぎまちいっちょうめ（きた）
柳町３丁目（北）,ja,柳町3丁目（北）
柳町３丁目（北）,ja-Hira,やなぎさんちょうめ（きた）
