route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
1,2,1,JR鯖江駅,第1便,0,,1
1,2,2,神明駅,第2便,1,,2
1,2,3,嚮陽会館,第3便,1,,3
1,2,4,嚮陽会館,第4便,1,,4
1,1,5,神明駅,第5便,1,,5
1,1,6,神明苑,第6便,0,,6
1,1,7,JR鯖江駅,第7便,1,,7
1,1,8,神明駅,第8便,0,,8
1,1,9,JR鯖江駅,第9便,1,,9
1,1,10,神明苑,第10便,0,,6
1,1,11,神明駅,第11便,0,,10
1,2,12,JR鯖江駅,第12便,1,,9
1,2,13,神明駅,第13便,1,,11
1,2,14,神明駅,第14便,1,,5
1,2,15,嚮陽会館,第15便,1,,4
1,2,16,JR鯖江駅,第16便,0,,12
2,1,17,神明駅,第1便,1,,13
2,1,18,神明駅,第2便,0,,14
2,1,19,JR鯖江駅,第3便,1,,13
3,1,20,嚮陽会館,第1便,0,,15
3,2,21,嚮陽会館,第2便,0,,15
3,1,22,嚮陽会館,第3便,1,,16
3,2,23,嚮陽会館,第4便,1,,16
4,2,24,公立丹南病院,第1便,0,,17
4,1,25,神明駅,第2便,0,,18
4,2,26,神明駅,第3便,0,,18
4,1,27,公立丹南病院,第4便,1,,19
4,2,28,公立丹南病院,第5便,1,,20
5,3,29,公立丹南病院,第1便,1,,21
5,4,30,公立丹南病院,第1便,1,,22
5,4,31,高年大学,第2便,0,,23
5,1,32,神明駅,第3便,0,,24
5,3,33,公立丹南病院,第4便,0,,25
5,4,34,公立丹南病院,第4便,0,,26
5,1,35,公立丹南病院,第5便,1,,27
5,2,36,神明駅,第6便,1,,28
6,2,37,神明駅,第1便,0,,29
6,1,38,神明苑,第2便,0,,30
6,2,39,神明駅,第3便,0,,31
6,1,40,神明苑,第4便,1,,32
6,2,41,神明駅,第5便,1,,33
7,2,42,神明苑,第1便,0,,34
7,1,43,神明苑,第2便,0,,34
7,2,44,神明苑,第3便,0,,35
7,2,45,神明苑,第4便,0,,35
7,1,46,神明苑,第5便,0,,35
7,2,47,神明苑,第6便,0,,34
8,2,48,JR鯖江駅,第1便,0,,36
8,1,49,JR鯖江駅,第2便,1,,37
8,2,50,JR鯖江駅,第3便,1,,37
8,1,51,JR鯖江駅,第4便,0,,36
8,2,52,JR鯖江駅,第5便,1,,38
9,3,53,JR鯖江駅,第1便,1,,39
9,4,54,JR鯖江駅,第1便,1,,40
9,2,55,上戸口北,第2便,1,,41
9,3,56,嚮陽会館内,第3便,1,,41
9,4,57,上戸口北,第3便,1,,42
9,1,58,上戸口北,第4便,1,,41
9,2,59,嚮陽会館内,第5便,1,,43
10,2,60,嚮陽会館内,第1便,1,,44
10,5,61,嚮陽会館内,第2便,1,,45
10,6,62,嚮陽会館内,第2便,1,,46
10,3,63,嚮陽会館内,第3便,1,,45
10,4,64,嚮陽会館内,第3便,1,,46
10,2,65,JR鯖江駅,第4便,1,,47
10,1,66,嚮陽会館内,第5便,1,,45
10,2,67,嚮陽会館内,第6便,1,,45
10,2,68,鉱泉前,第7便,0,,48
11,7,69,丹南高校,第1便,0,,49
11,7,70,福井高専,第2便,0,,50
11,7,71,JR鯖江駅,第3便,1,,51
12,7,72,神明駅,第1便,1,,52
12,7,73,中戸口,第2便,0,,53
13,7,74,神明駅,第1便,1,,54
13,7,75,石田中,第2便,0,,55
14,7,76,神明駅,第1便,1,,56
14,7,77,石田中,第2便,0,,57
15,7,78,JR鯖江駅,第1便,1,,58
15,7,79,冬島,第2便,0,,59
16,7,80,JR鯖江駅,第1便,1,,60
16,7,81,上戸口北,第2便,0,,61
17,7,82,嚮陽会館,第1便,1,,62
17,7,83,鉱泉前,第2便,0,,63
11,8,84,丹南高校,第1便,0,,49
11,8,85,JR鯖江駅,第3便,1,,51
11,9,86,福井高専,第2便,0,,50
11,9,87,JR鯖江駅,第3便,1,,51
