trans_id,lang,translation
岡山駅,ja,岡山駅
岡山駅,ja-Hrkt,おかやまえき
岡山駅,en,Okatama St.
岡山駅(Okayama sta.),ja,岡山駅
岡山駅(Okayama sta.),ja-Hrkt,おかやまえき
岡山駅(Okayama sta.),en,Okatama St.
柳川西（北側）東岡山,ja,柳川西（北側）東岡山
柳川西（北側）東岡山,ja-Hrkt,やながわにし
岡山駅前・ドレミの街,ja,岡山駅前・ドレミの街
岡山駅前・ドレミの街,ja-Hrkt,おかやまえきまえ
柳川西（北側）,ja,柳川西（北側）
柳川西（北側）,ja-Hrkt,やながわにし
柳川,ja,柳川
柳川,ja-Hrkt,やながわ
柳川西（南側）,ja,柳川西（南側）
柳川西（南側）,ja-Hrkt,やながわにし
表町入口,ja,表町入口
表町入口,ja-Hrkt,おもてちょういりぐち
中銀本店西,ja,中銀本店西
中銀本店西,ja-Hrkt,ちゅうぎんほんてんにし
表町BC,ja,表町BC
表町BC,ja-Hrkt,おもてちょうばすせんたー
中銀本店前,ja,中銀本店前
中銀本店前,ja-Hrkt,ちゅうぎんほんてんまえ
中電前,ja,中電前
中電前,ja-Hrkt,ちゅうでんまえ
県庁前,ja,県庁前
県庁前,ja-Hrkt,けんちょうまえ
朝日高前,ja,朝日高前
朝日高前,ja-Hrkt,あさひこうまえ
国富,ja,国富
国富,ja-Hrkt,くにとみ
国富東,ja,国富東
国富東,ja-Hrkt,くにとみひがし
原東,ja,原東
原東,ja-Hrkt,はらひがし
原尾島住宅前,ja,原尾島住宅前
原尾島住宅前,ja-Hrkt,はらおじまじゅうたくまえ
二本松,ja,二本松
二本松,ja-Hrkt,にほんまつ
二本松東,ja,二本松東
二本松東,ja-Hrkt,にほんまつひがし
高屋,ja,高屋
高屋,ja-Hrkt,たかや
高屋東,ja,高屋東
高屋東,ja-Hrkt,たかやひがし
兼基西,ja,兼基西
兼基西,ja-Hrkt,かねもとにし
兼基,ja,兼基
兼基,ja-Hrkt,かねもと
兼基東,ja,兼基東
兼基東,ja-Hrkt,かねもとひがし
乙多見西,ja,乙多見西
乙多見西,ja-Hrkt,おたみにし
乙多見,ja,乙多見
乙多見,ja-Hrkt,おたみ
長岡団地,ja,長岡団地
長岡団地,ja-Hrkt,ながおかだんち
長岡西,ja,長岡西
長岡西,ja-Hrkt,ながおかにし
県立美術館(Okayama Prefectural Museum),ja,県立美術館(Okayama Prefectural Museum)
県立美術館(Okayama Prefectural Museum),ja-Hrkt,けんりつびじゅつかん
県立美術館(Okayama Prefectural,ja,県立美術館
県立美術館(Okayama Prefectural,ja-Hrkt,けんりつびじゅつかん
県立美術館(Okayama Prefectural,en,Okayama Prefectural Museum
長岡,ja,長岡
長岡,ja-Hrkt,ながおか
ワールド前,ja,ワールド前
ワールド前,ja-Hrkt,わーるどまえ
宍甘,ja,宍甘
宍甘,ja-Hrkt,しじかい
宿,ja,宿
宿,ja-Hrkt,しゅく
積水前,ja,積水前
積水前,ja-Hrkt,せきすいまえ
三石深井鉄工所前,ja,三石深井鉄工所前
三石深井鉄工所前,ja-Hrkt,みついしふかいてっこうしょまえ
藤井,ja,藤井
藤井,ja-Hrkt,ふじい
鉄,ja,鉄
鉄,ja-Hrkt,くろがね
北方,ja,北方
北方,ja-Hrkt,きたがた
中尾,ja,中尾
中尾,ja-Hrkt,なかお
沼西,ja,沼西
沼西,ja-Hrkt,ぬまにし
沼,ja,沼
沼,ja-Hrkt,ぬま
浮田校口,ja,浮田校口
浮田校口,ja-Hrkt,うきたこうぐち
八ツ塚,ja,八ツ塚
八ツ塚,ja-Hrkt,やつづか
赤坂,ja,赤坂
赤坂,ja-Hrkt,あかさか
南古都,ja,南古都
南古都,ja-Hrkt,みなみこず
平島,ja,平島
平島,ja-Hrkt,ひらじま
矢井,ja,矢井
矢井,ja-Hrkt,やい
山の端,ja,山の端
山の端,ja-Hrkt,やまのはた
浅川,ja,浅川
浅川,ja-Hrkt,あさかわ
新町,ja,新町
新町,ja-Hrkt,しんまち
一日市,ja,一日市
一日市,ja-Hrkt,ひといち
吉井,ja,吉井
吉井,ja-Hrkt,よしい
八日市,ja,八日市
八日市,ja-Hrkt,ようかいち
天王,ja,天王
天王,ja-Hrkt,てんのう
船山,ja,船山
船山,ja-Hrkt,ふなやま
二ノ樋,ja,二ノ樋
二ノ樋,ja-Hrkt,にのひ
香登駅前,ja,香登駅前
香登駅前,ja-Hrkt,かがとえきまえ
香登東,ja,香登東
香登東,ja-Hrkt,かがとひがし
大内,ja,大内
大内,ja-Hrkt,おおうち
池灘,ja,池灘
池灘,ja-Hrkt,いけなだ
備前病院前,ja,備前病院前
備前病院前,ja-Hrkt,びぜんびょういんまえ
伊部駅前,ja,伊部駅前
伊部駅前,ja-Hrkt,いんべえきまえ
東伊部,ja,東伊部
東伊部,ja-Hrkt,ひがしいんべ
田井山,ja,田井山
田井山,ja-Hrkt,たいやま
岸本橋,ja,岸本橋
岸本橋,ja-Hrkt,きしもとばし
浦伊部,ja,浦伊部
浦伊部,ja-Hrkt,うらいんべ
恵美須前,ja,恵美須前
恵美須前,ja-Hrkt,えびすまえ
片上,ja,片上
片上,ja-Hrkt,かたかみ
後楽園前(Korakuen),ja,後楽園前(Korakuen)
後楽園前(Korakuen),ja-Hrkt,こうらくえんまえ
長岡南,ja,長岡南
長岡南,ja-Hrkt,ながおかみなみ
長岡中央,ja,長岡中央
長岡中央,ja-Hrkt,ながおかちゅうおう
長岡・駅前,ja,長岡・駅前
長岡・駅前,ja-Hrkt,ながおかえきまえ
藤原,ja,藤原
藤原,ja-Hrkt,ふじわら
藤原西町,ja,藤原西町
藤原西町,ja-Hrkt,ふじわらにしまち
赤田,ja,赤田
赤田,ja-Hrkt,あこだ
清水,ja,清水
清水,ja-Hrkt,しみず
中井,ja,中井
中井,ja-Hrkt,なかい
中井北,ja,中井北
中井北,ja-Hrkt,なかいきた
国府市場西,ja,国府市場西
国府市場西,ja-Hrkt,こくふいちばにし
国府市場,ja,国府市場
国府市場,ja-Hrkt,こくふいちば
賞田,ja,賞田
賞田,ja-Hrkt,しょうだ
賞田上,ja,賞田上
賞田上,ja-Hrkt,しょうだかみ
脇田,ja,脇田
脇田,ja-Hrkt,わいだ
浄土寺前,ja,浄土寺前
浄土寺前,ja-Hrkt,じょうどじまえ
公会堂前,ja,公会堂前
公会堂前,ja-Hrkt,こうかいどうまえ
湯迫,ja,湯迫
湯迫,ja-Hrkt,ゆば
湯迫東,ja,湯迫東
湯迫東,ja-Hrkt,ゆばひがし
東が丘西,ja,東が丘西
東が丘西,ja-Hrkt,ひがしがおかにし
東が丘団地入口,ja,東が丘団地入口
東が丘団地入口,ja-Hrkt,ひがしがおかだんちいりぐち
東が丘団地,ja,東が丘団地
東が丘団地,ja-Hrkt,ひがしがおかだんち
東が丘団地中,ja,東が丘団地中
東が丘団地中,ja-Hrkt,ひがしがおかだんちなか
四御神西,ja,四御神西
四御神西,ja-Hrkt,しのごぜにし
四御神上,ja,四御神上
四御神上,ja-Hrkt,しのごぜかみ
四御神,ja,四御神
四御神,ja-Hrkt,しのごぜ
竜の口ｺﾐｭﾆﾃｨﾊｳｽ入口,ja,竜の口ｺﾐｭﾆﾃｨﾊｳｽ入口
竜の口ｺﾐｭﾆﾃｨﾊｳｽ入口,ja-Hrkt,たつのくちこみゅにてぃはうすいりぐち
四御神南,ja,四御神南
四御神南,ja-Hrkt,しのごぜみなみ
四御神車庫,ja,四御神車庫
四御神車庫,ja-Hrkt,しのごぜしゃこ
四御神車庫(東岡山),ja,四御神車庫(東岡山)
四御神車庫(東岡山),ja-Hrkt,ひがしおかやま
岡山駅前・中銀前,ja,岡山駅前・中銀前
岡山駅前・中銀前,ja-Hrkt,おかやまえきまえ
県民局入口,ja,県民局入口
県民局入口,ja-Hrkt,けんみんきょくいりぐち
岡電柳川,ja,岡電柳川
岡電柳川,ja-Hrkt,おかでんやながわ
番町口,ja,番町口
番町口,ja-Hrkt,ばんちょうぐち
南方交番前,ja,南方交番前
南方交番前,ja-Hrkt,みなみがたこうばんまえ
長泉寺,ja,長泉寺
長泉寺,ja-Hrkt,ちょうせんじ
大和町,ja,大和町
大和町,ja-Hrkt,やまとまち
御野校前,ja,御野校前
御野校前,ja-Hrkt,みのこうまえ
法界院駅前,ja,法界院駅前
法界院駅前,ja-Hrkt,ほうかいいんえきまえ
植物園口,ja,植物園口
植物園口,ja-Hrkt,しょくぶつえんぐち
水源池,ja,水源池
水源池,ja-Hrkt,すいげんち
三野,ja,三野
