trans_id,lang,translation
岡山駅,ja,岡山駅
岡山駅,ja-Hira,おかやまえき
岡山駅,en,Okayama Station
岡山駅(Okayama sta.),ja,岡山駅
岡山駅(Okayama sta.),ja-Hira,おかやまえき
岡山駅(Okayama sta.),en,Okayama Station
柳川西（北側）東岡山,ja,柳川西（北側）東岡山
柳川西（北側）東岡山,ja-Hira,やながわにし
岡山駅前・ドレミの街,ja,岡山駅前・ドレミの街
岡山駅前・ドレミの街,ja-Hira,おかやまえきまえ
岡山駅前・ドレミの街,en,Okatama Ekimae Doremi
柳川西（北側）,ja,柳川西（北側）
柳川西（北側）,ja-Hira,やながわにし
柳川,ja,柳川
柳川,ja-Hira,やながわ
柳川,en,Yanagawa
柳川西（南側）,ja,柳川西（南側）
柳川西（南側）,ja-Hira,やながわにし
表町入口,ja,表町入口
表町入口,ja-Hira,おもてちょういりぐち
中銀本店西,ja,中銀本店西
中銀本店西,ja-Hira,ちゅうぎんほんてんにし
表町BC,ja,表町BC
表町BC,ja-Hira,おもてちょうばすせんたー
中銀本店前,ja,中銀本店前
中銀本店前,ja-Hira,ちゅうぎんほんてんまえ
中電前,ja,中電前
中電前,ja-Hira,ちゅうでんまえ
県庁前,ja,県庁前
県庁前,ja-Hira,けんちょうまえ
朝日高前,ja,朝日高前
朝日高前,ja-Hira,あさひこうまえ
国富,ja,国富
国富,ja-Hira,くにとみ
国富東,ja,国富東
国富東,ja-Hira,くにとみひがし
原東,ja,原東
原東,ja-Hira,はらひがし
原尾島住宅前,ja,原尾島住宅前
原尾島住宅前,ja-Hira,はらおじまじゅうたくまえ
二本松,ja,二本松
二本松,ja-Hira,にほんまつ
二本松東,ja,二本松東
二本松東,ja-Hira,にほんまつひがし
高屋,ja,高屋
高屋,ja-Hira,たかや
高屋東,ja,高屋東
高屋東,ja-Hira,たかやひがし
兼基西,ja,兼基西
兼基西,ja-Hira,かねもとにし
兼基,ja,兼基
兼基,ja-Hira,かねもと
兼基東,ja,兼基東
兼基東,ja-Hira,かねもとひがし
乙多見西,ja,乙多見西
乙多見西,ja-Hira,おたみにし
乙多見,ja,乙多見
乙多見,ja-Hira,おたみ
長岡団地,ja,長岡団地
長岡団地,ja-Hira,ながおかだんち
長岡西,ja,長岡西
長岡西,ja-Hira,ながおかにし
県立美術館,ja,県立美術館
県立美術館,ja-Hira,けんりつびじゅつかん
県立美術館,en,Okayama Prefectural Museum
県立美術館(Okayama Prefectural,ja,県立美術館
県立美術館(Okayama Prefectural,ja-Hira,けんりつびじゅつかん
県立美術館(Okayama Prefectural,en,Okayama Prefectural Museum
県立美術館(Okayama Prefectural Museum),ja,県立美術館
県立美術館(Okayama Prefectural Museum),ja-Hira,けんりつびじゅつかん
県立美術館(Okayama Prefectural Museum),en,Okayama Prefectural Museum
長岡,ja,長岡
長岡,ja-Hira,ながおか
ワールド前,ja,ワールド前
ワールド前,ja-Hira,わーるどまえ
宍甘,ja,宍甘
宍甘,ja-Hira,しじかい
宿,ja,宿
宿,ja-Hira,しゅく
積水前,ja,積水前
積水前,ja-Hira,せきすいまえ
三石深井鉄工所前,ja,三石深井鉄工所前
