route_id,service_id,trip_id,trip_headsign,shape_id
1642,平日,平日_05時40分_系統1642,瀬戸駅 (岡山駅 経由),1642
1182,平日,平日_06時00分_系統1182,表町BC (新道河本 経由),1182
1332,平日,平日_06時08分_系統1332,表町BC (新道河本 経由),1332
1282,平日,平日_06時09分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
1642,平日,平日_06時12分_系統1642,瀬戸駅 (岡山駅 経由),1642
1632,平日,平日_06時15分_系統1632,岡山駅前経由表町BC (下市・西 経由),1632
5692,平日,平日_06時25分_系統5692,表町BC (高島団地・岡山駅前 経由),5692
1112,平日,平日_06時27分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
3103,平日,平日_06時28分_系統3103,片上,3103
1042,平日,平日_06時28分_系統1042,表町BC経由 岡山駅,1042
1342,平日,平日_06時31分_系統1342,表町BC (正崎・中 経由),1342
1622,平日,平日_06時35分_系統1622,岡山駅前経由表町BC (下市・中 経由),1622
1282,平日,平日_06時42分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
1401,平日,平日_06時45分_系統1401,瀬戸駅,1401
1112,平日,平日_06時50分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1632,平日,平日_06時52分_系統1632,岡山駅前経由表町BC (下市・西 経由),1632
5142,平日,平日_06時52分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
3102,平日,平日_06時52分_系統3102,表町BC経由 岡山駅,3102
1622,平日,平日_07時00分_系統1622,岡山駅前経由表町BC (下市・中 経由),1622
1642,平日,平日_07時03分_系統1642,瀬戸駅 (岡山駅 経由),1642
3114,平日,平日_07時05分_系統3114,岡山駅前経由表町BC (直行便 経由),3114
1082,平日,平日_07時08分_系統1082,表町BC経由 岡山駅,1082
3101,平日,平日_07時10分_系統3101,片上,3101
1632,平日,平日_07時10分_系統1632,岡山駅前経由表町BC (下市・西 経由),1632
1113,平日,平日_07時12分_系統1113,四御神 (県庁前 経由),1113
1112,平日,平日_07時12分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
5142,平日,平日_07時13分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1652,平日,平日_07時15分_系統1652,ネオ西9,1652
2011,平日,平日_07時15分_系統2011,ネオ東6 (新道河本 経由),2011
1381,平日,平日_07時19分_系統1381,林野駅 (湯郷温泉 経由),1381
1072,平日,平日_07時20分_系統1072,瀬戸駅 (岡山駅 経由),1072
1111,平日,平日_07時22分_系統1111,四御神 (県庁前 経由),1111
1282,平日,平日_07時22分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
1112,平日,平日_07時27分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1082,平日,平日_07時35分_系統1082,表町BC経由 岡山駅,1082
1622,平日,平日_07時37分_系統1622,岡山駅前経由表町BC (下市・中 経由),1622
3107,平日,平日_07時40分_系統3107,長岡・駅前,3107
5131,平日,平日_07時41分_系統5131,東岡山 (弓之町 経由),5131
5142,平日,平日_07時46分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
5141,平日,平日_07時48分_系統5141,東岡山 (岡山駅 経由),5141
1061,平日,平日_07時50分_系統1061,瀬戸駅,1061
1112,平日,平日_07時50分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1622,平日,平日_07時52分_系統1622,岡山駅前経由表町BC (下市・中 経由),1622
3108,平日,平日_08時00分_系統3108,表町BC経由 岡山駅,3108
1111,平日,平日_08時00分_系統1111,四御神 (県庁前 経由),1111
1371,平日,平日_08時00分_系統1371,山陽団地 (西→中 経由),1371
1072,平日,平日_08時03分_系統1072,瀬戸駅 (岡山駅 経由),1072
2001,平日,平日_08時06分_系統2001,瀬戸駅 (ネオ東6 経由),2001
5141,平日,平日_08時14分_系統5141,東岡山 (岡山駅 経由),5141
1112,平日,平日_08時15分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
3108,平日,平日_08時20分_系統3108,表町BC経由 岡山駅,3108
5142,平日,平日_08時22分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1111,平日,平日_08時23分_系統1111,四御神 (県庁前 経由),1111
