table_name,field_name,field_value,language,translation
stops,stop_name,岡山駅,ja-Hrkt,おかやまえき
stops,stop_name,岡山駅,en,Okayama Sta.
stops,stop_name,柳川西（北側）東岡山,ja-Hrkt,やながわにし
stops,stop_name,岡山駅前・ドレミの街,ja-Hrkt,おかやまえきまえ
stops,stop_name,岡山駅前・ドレミの街,en,Okatama Ekimae Doremi
stops,stop_name,柳川西（北側）,ja-Hrkt,やながわにし
stops,stop_name,柳川,ja-Hrkt,やながわ
stops,stop_name,柳川,en,Yanagawa
stops,stop_name,柳川西（南側）,ja-Hrkt,やながわにし
stops,stop_name,表町入口,ja-Hrkt,おもてちょういりぐち
stops,stop_name,中銀本店西,ja-Hrkt,ちゅうぎんほんてんにし
stops,stop_name,表町BC,ja-Hrkt,おもてちょうばすせんたー
stops,stop_name,中銀本店前,ja-Hrkt,ちゅうぎんほんてんまえ
stops,stop_name,中電前,ja-Hrkt,ちゅうでんまえ
stops,stop_name,県庁前,ja-Hrkt,けんちょうまえ
stops,stop_name,朝日高前,ja-Hrkt,あさひこうまえ
stops,stop_name,国富,ja-Hrkt,くにとみ
stops,stop_name,国富東,ja-Hrkt,くにとみひがし
stops,stop_name,原東,ja-Hrkt,はらひがし
stops,stop_name,原尾島住宅前,ja-Hrkt,はらおじまじゅうたくまえ
stops,stop_name,二本松,ja-Hrkt,にほんまつ
stops,stop_name,二本松東,ja-Hrkt,にほんまつひがし
stops,stop_name,高屋,ja-Hrkt,たかや
stops,stop_name,高屋東,ja-Hrkt,たかやひがし
stops,stop_name,兼基西,ja-Hrkt,かねもとにし
stops,stop_name,兼基,ja-Hrkt,かねもと
stops,stop_name,兼基東,ja-Hrkt,かねもとひがし
stops,stop_name,乙多見西,ja-Hrkt,おたみにし
stops,stop_name,乙多見,ja-Hrkt,おたみ
stops,stop_name,長岡団地,ja-Hrkt,ながおかだんち
stops,stop_name,長岡西,ja-Hrkt,ながおかにし
stops,stop_name,長岡,ja-Hrkt,ながおか
stops,stop_name,ワールド前,ja-Hrkt,わーるどまえ
stops,stop_name,宍甘,ja-Hrkt,しじかい
stops,stop_name,宿,ja-Hrkt,しゅく
stops,stop_name,積水前,ja-Hrkt,せきすいまえ
stops,stop_name,三石深井鉄工所前,ja-Hrkt,みついしふかいてっこうしょまえ
stops,stop_name,藤井,ja-Hrkt,ふじい
stops,stop_name,鉄,ja-Hrkt,くろがね
stops,stop_name,北方,ja-Hrkt,きたがた
stops,stop_name,中尾,ja-Hrkt,なかお
stops,stop_name,沼西,ja-Hrkt,ぬまにし
stops,stop_name,沼,ja-Hrkt,ぬま
stops,stop_name,浮田校口,ja-Hrkt,うきたこうぐち
stops,stop_name,八ツ塚,ja-Hrkt,やつづか
stops,stop_name,赤坂,ja-Hrkt,あかさか
stops,stop_name,南古都,ja-Hrkt,みなみこず
stops,stop_name,平島,ja-Hrkt,ひらじま
stops,stop_name,矢井,ja-Hrkt,やい
stops,stop_name,山の端,ja-Hrkt,やまのはた
stops,stop_name,浅川,ja-Hrkt,あさかわ
stops,stop_name,新町,ja-Hrkt,しんまち
stops,stop_name,一日市,ja-Hrkt,ひといち
stops,stop_name,吉井,ja-Hrkt,よしい
stops,stop_name,八日市,ja-Hrkt,ようかいち
stops,stop_name,天王,ja-Hrkt,てんのう
stops,stop_name,船山,ja-Hrkt,ふなやま
stops,stop_name,二ノ樋,ja-Hrkt,にのひ
stops,stop_name,香登駅前,ja-Hrkt,かがとえきまえ
stops,stop_name,香登東,ja-Hrkt,かがとひがし
stops,stop_name,大内,ja-Hrkt,おおうち
stops,stop_name,池灘,ja-Hrkt,いけなだ
stops,stop_name,備前病院前,ja-Hrkt,びぜんびょういんまえ
stops,stop_name,伊部駅前,ja-Hrkt,いんべえきまえ
stops,stop_name,東伊部,ja-Hrkt,ひがしいんべ
stops,stop_name,田井山,ja-Hrkt,たいやま
stops,stop_name,岸本橋,ja-Hrkt,きしもとばし
stops,stop_name,浦伊部,ja-Hrkt,うらいんべ
stops,stop_name,恵美須前,ja-Hrkt,えびすまえ
stops,stop_name,片上,ja-Hrkt,かたかみ
stops,stop_name,長岡南,ja-Hrkt,ながおかみなみ
stops,stop_name,長岡中央,ja-Hrkt,ながおかちゅうおう
stops,stop_name,長岡・駅前,ja-Hrkt,ながおかえきまえ
stops,stop_name,藤原,ja-Hrkt,ふじわら
stops,stop_name,藤原西町,ja-Hrkt,ふじわらにしまち
stops,stop_name,赤田,ja-Hrkt,あこだ
stops,stop_name,清水,ja-Hrkt,しみず
stops,stop_name,中井,ja-Hrkt,なかい
stops,stop_name,中井北,ja-Hrkt,なかいきた
stops,stop_name,国府市場西,ja-Hrkt,こくふいちばにし
stops,stop_name,国府市場,ja-Hrkt,こくふいちば
stops,stop_name,賞田,ja-Hrkt,しょうだ
stops,stop_name,賞田上,ja-Hrkt,しょうだかみ
stops,stop_name,脇田,ja-Hrkt,わいだ
stops,stop_name,浄土寺前,ja-Hrkt,じょうどじまえ
stops,stop_name,公会堂前,ja-Hrkt,こうかいどうまえ
stops,stop_name,湯迫,ja-Hrkt,ゆば
stops,stop_name,湯迫東,ja-Hrkt,ゆばひがし
stops,stop_name,東が丘西,ja-Hrkt,ひがしがおかにし
stops,stop_name,東が丘団地入口,ja-Hrkt,ひがしがおかだんちいりぐち
stops,stop_name,東が丘団地,ja-Hrkt,ひがしがおかだんち
stops,stop_name,東が丘団地中,ja-Hrkt,ひがしがおかだんちなか
stops,stop_name,四御神西,ja-Hrkt,しのごぜにし
stops,stop_name,四御神上,ja-Hrkt,しのごぜかみ
stops,stop_name,四御神,ja-Hrkt,しのごぜ
stops,stop_name,竜の口ｺﾐｭﾆﾃｨﾊｳｽ入口,ja-Hrkt,たつのくちこみゅにてぃはうすいりぐち
stops,stop_name,四御神南,ja-Hrkt,しのごぜみなみ
stops,stop_name,四御神車庫,ja-Hrkt,しのごぜしゃこ
stops,stop_name,四御神車庫(東岡山),ja-Hrkt,しのごぜしゃこひがしおかやま
stops,stop_name,岡山駅前・中銀前,ja-Hrkt,おかやまえきまえ
