route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,shape_id
ネオ瀬戸線_A,平日,平日_05時40分_系統1642,瀬戸駅（岡山駅 経由）,,,,1642
林野線_A,平日,平日_06時00分_系統1332,表町BC（新道河本 経由）,,,,1332
林野線_A,平日,平日_06時00分_系統1182,表町BC（新道河本 経由）,,,,1182
ネオポリス線_A,平日,平日_06時05分_系統1282,表町BC（下市・中 経由）,,,,1282
ネオポリス線_A,平日,平日_06時10分_系統1632,表町BC（下市・西 経由）,,,,1632
ネオ瀬戸線_A,平日,平日_06時12分_系統1642,瀬戸駅（岡山駅 経由）,,,,1642
林野線_A,平日,平日_06時25分_系統1342,表町BC（正崎・中 経由）,,,,1342
東岡山線_A,平日,平日_06時25分_系統5692,表町BC（高島団地・岡山駅前 経由）,,,,5692
四御神線_A,平日,平日_06時27分_系統1112,岡山駅（清水 経由）,,,,1112
２５０号線_A,平日,平日_06時28分_系統1042,岡山駅,,,,1042
２５０号線_A,平日,平日_06時28分_系統3103,片上,,,,3103
ネオポリス線_A,平日,平日_06時30分_系統1622,表町BC（下市・中 経由）,,,,1622
ネオポリス線_A,平日,平日_06時40分_系統1282,表町BC（下市・中 経由）,,,,1282
ネオ瀬戸線_A,平日,平日_06時45分_系統1401,瀬戸駅,,,,1401
四御神線_A,平日,平日_06時50分_系統1112,岡山駅（清水 経由）,,,,1112
ネオポリス線_A,平日,平日_06時50分_系統1632,表町BC（下市・西 経由）,,,,1632
東岡山線_A,平日,平日_06時52分_系統5142,表町BC（高島団地・岡山駅前 経由）,,,,5142
２５０号線_A,平日,平日_06時52分_系統3102,岡山駅,,,,3102
ネオポリス線_A,平日,平日_07時00分_系統1622,表町BC（下市・中 経由）,,,,1622
ネオ瀬戸線_A,平日,平日_07時03分_系統1642,瀬戸駅（岡山駅 経由）,,,,1642
ネオポリス線_A,平日,平日_07時05分_系統2011,ネオポリス東６（新道河本 経由）,,,,2011
ネオポリス線_A,平日,平日_07時05分_系統3114,表町BC（直行便）,,,,3114
２５０号線_A,平日,平日_07時08分_系統1082,岡山駅,,,,1082
ネオポリス線_A,平日,平日_07時10分_系統1632,表町BC（下市・西 経由）,,,,1632
２５０号線_A,平日,平日_07時10分_系統3101,片上,,,,3101
四御神線_A,平日,平日_07時12分_系統1113,四御神（県庁前 経由）,,,,1113
四御神線_A,平日,平日_07時12分_系統1112,岡山駅（清水 経由）,,,,1112
東岡山線_A,平日,平日_07時13分_系統5142,表町BC（高島団地・岡山駅前 経由）,,,,5142
ネオ瀬戸線_A,平日,平日_07時15分_系統1652,ネオポリス西９,,,,1652
ネオ瀬戸線_A,平日,平日_07時20分_系統1072,瀬戸駅（岡山駅 経由）,,,,1072
四御神線_A,平日,平日_07時22分_系統1111,四御神（県庁前 経由）,,,,1111
ネオポリス線_A,平日,平日_07時22分_系統1282,表町BC（下市・中 経由）,,,,1282
四御神線_A,平日,平日_07時27分_系統1112,岡山駅（清水 経由）,,,,1112
２５０号線_A,平日,平日_07時35分_系統1082,岡山駅,,,,1082
ネオポリス線_A,平日,平日_07時37分_系統1622,表町BC（下市・中 経由）,,,,1622
２５０号線_A,平日,平日_07時40分_系統3107,長岡・駅前,,,,3107
東岡山線_A,平日,平日_07時41分_系統5131,東岡山（弓之町 経由）,,,,5131
東岡山線_A,平日,平日_07時46分_系統5142,表町BC（高島団地・岡山駅前 経由）,,,,5142
東岡山線_A,平日,平日_07時48分_系統5141,東岡山（岡山駅 経由）,,,,5141
ネオ瀬戸線_A,平日,平日_07時50分_系統1061,瀬戸駅,,,,1061
四御神線_A,平日,平日_07時50分_系統1112,岡山駅（清水 経由）,,,,1112
ネオポリス線_A,平日,平日_07時52分_系統1622,表町BC（下市・中 経由）,,,,1622
四御神線_A,平日,平日_08時00分_系統1111,四御神（県庁前 経由）,,,,1111
山陽団地循環_A,平日,平日_08時00分_系統1371,山陽団地（西→中 経由）,,,,1371
２５０号線_A,平日,平日_08時00分_系統3108,岡山駅,,,,3108
ネオ瀬戸線_A,平日,平日_08時03分_系統1072,瀬戸駅（岡山駅 経由）,,,,1072
ネオ瀬戸線_A,平日,平日_08時06分_系統2001,瀬戸駅（終点 ネオポリス東６）,,,,2001
東岡山線_A,平日,平日_08時14分_系統5141,東岡山（岡山駅 経由）,,,,5141
四御神線_A,平日,平日_08時15分_系統1112,岡山駅（清水 経由）,,,,1112
２５０号線_A,平日,平日_08時20分_系統3108,岡山駅,,,,3108
東岡山線_A,平日,平日_08時22分_系統5142,表町BC（高島団地・岡山駅前 経由）,,,,5142
四御神線_A,平日,平日_08時23分_系統1111,四御神（県庁前 経由）,,,,1111
ネオポリス線_A,平日,平日_08時23分_系統1272,表町BC（新道河本 経由）,,,,1272
ネオポリス線_A,平日,平日_08時25分_系統1621,ネオポリス西９（中 ・下市 経由）,,,,1621
２５０号線_A,平日,平日_08時25分_系統1084,長岡・駅前,,,,1084
林野線_A,平日,平日_08時34分_系統1182,表町BC（新道河本 経由）,,,,1182
東岡山線_A,平日,平日_08時35分_系統5141,東岡山（岡山駅 経由）,,,,5141
２５０号線_A,平日,平日_08時40分_系統3107,長岡・駅前,,,,3107
２５０号線_A,平日,平日_08時40分_系統3102,岡山駅,,,,3102
東岡山線_A,平日,平日_08時43分_系統5142,表町BC（高島団地・岡山駅前 経由）,,,,5142
ネオポリス線_A,平日,平日_08時47分_系統1632,表町BC（下市・西 経由）,,,,1632
四御神線_A,平日,平日_08時50分_系統1112,岡山駅（清水 経由）,,,,1112
２５０号線_A,平日,平日_08時50分_系統3108,岡山駅,,,,3108
四御神線_A,平日,平日_08時55分_系統1111,四御神（県庁前 経由）,,,,1111
山陽団地循環_A,平日,平日_08時55分_系統1371,山陽団地（西→中 経由）,,,,1371
ネオポリス線_A,平日,平日_09時00分_系統1282,表町BC（下市・中 経由）,,,,1282
東岡山線_A,平日,平日_09時05分_系統5142,表町BC（高島団地・岡山駅前 経由）,,,,5142
ネオポリス線_A,平日,平日_09時05分_系統2011,ネオポリス東６（新道河本 経由）,,,,2011
四御神線_A,平日,平日_09時08分_系統1112,岡山駅（清水 経由）,,,,1112
２５０号線_A,平日,平日_09時10分_系統3101,片上,,,,3101
東岡山線_A,平日,平日_09時10分_系統5141,東岡山（岡山駅 経由）,,,,5141
２５０号線_A,平日,平日_09時12分_系統1084,長岡・駅前,,,,1084
ネオポリス線_A,平日,平日_09時15分_系統1621,ネオポリス西９（中 ・下市 経由）,,,,1621
四御神線_A,平日,平日_09時15分_系統1111,四御神（県庁前 経由）,,,,1111
ネオ瀬戸線_A,平日,平日_09時20分_系統1061,瀬戸駅,,,,1061
東岡山線_A,平日,平日_09時29分_系統5142,表町BC（高島団地・岡山駅前 経由）,,,,5142
２５０号線_A,平日,平日_09時30分_系統3107,長岡・駅前,,,,3107
２５０号線_A,平日,平日_09時35分_系統3108,岡山駅,,,,3108
東岡山線_A,平日,平日_09時40分_系統5141,東岡山（岡山駅 経由）,,,,5141
ネオポリス線_A,平日,平日_09時41分_系統1282,表町BC（下市・中 経由）,,,,1282
ネオ瀬戸線_A,平日,平日_09時42分_系統1062,岡山駅,,,,1062
四御神線_A,平日,平日_09時45分_系統1112,岡山駅（清水 経由）,,,,1112
ネオポリス線_A,平日,平日_09時45分_系統1611,ネオポリス西９丁目（新道河本 経由）,,,,1611
四御神線_A,平日,平日_09時45分_系統1111,四御神（県庁前 経由）,,,,1111
２５０号線_A,平日,平日_09時48分_系統3108,岡山駅,,,,3108
ネオ瀬戸線_A,平日,平日_09時50分_系統1061,瀬戸駅,,,,1061
東岡山線_A,平日,平日_10時00分_系統5141,東岡山（岡山駅 経由）,,,,5141
東岡山線_A,平日,平日_10時00分_系統5142,表町BC（高島団地・岡山駅前 経由）,,,,5142
ネオポリス線_A,平日,平日_10時00分_系統1632,表町BC（下市・西 経由）,,,,1632
ネオポリス線_A,平日,平日_10時05分_系統2021,ネオポリス東６（中 ・下市 経由）,,,,2021
四御神線_A,平日,平日_10時10分_系統1112,岡山駅（清水 経由）,,,,1112
四御神線_A,平日,平日_10時15分_系統1111,四御神（県庁前 経由）,,,,1111
東岡山線_A,平日,平日_10時15分_系統5141,東岡山（岡山駅 経由）,,,,5141
山陽団地循環_A,平日,平日_10時23分_系統1371,山陽団地（西→中 経由）,,,,1371
ネオ瀬戸線_A,平日,平日_10時25分_系統1062,岡山駅,,,,1062
ネオポリス線_A,平日,平日_10時25分_系統1282,表町BC（下市・中 経由）,,,,1282
